drug,generic_name,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg,sodium chloride,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Glucose Gel,glucose,glucose,glucose gel,glucose gel,glucose,glucose gel,glucose gel,glucose gel,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose,glucose,the generic name for the drug [gl,glucose,glucose,glucose gel,glucose gel,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
Furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
Acetaminophen IV,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
D5 1/2NS,"glucose 50 mg/ml, sodium chloride 4.5 mg/ml","glucose 50 mg/ml, sodium chloride 4.5 mg/ml","glucose 50 mg/ml, sodium chloride 4.5 mg/ml",dextrose 5% in 0.45% sodium chloride,dextrose 5% in 0.45% sodium chloride,dextrose 5% in 0.45% sodium chloride,dextrose 5% in 0.45% sodium chloride,dextrose 5% in sodium chloride 0.45%,"glucose, sodium chloride","glucose 50 mg/ml, sodium chloride",dextrose and sodium chloride,dextrose and sodium chloride,dextrose,d5 half ns is a dext,dextrose,glucose 50 mg/,glucose 50 mg,the generic name for [d5,the generic name for [d5,d5w,d5w  (note:,5% dextrose in water,"glucose, sodium chloride","glucose, sodium chloride",dextrose 5% in,dextrose 5% in normal,dextrose 5% in normal,dextrose 5% in normal,dextrose 5% in,"glucose 50 mg/ml, sodium","glucose 50 mg/ml, sodium",dextrose 5% in half,dextrose 5% in,dextrose 5% in half,dextrose 5% in half,dextrose 5% in half
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride -> potassium chloride (no change,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,[bisacodyl] is,bisacodyl is the,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl
Aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,acetaminophen,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin
Polyethylene Glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,peg,peg,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol
Lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride -> potassium chloride (no change,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
Insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin
Albuterol 0.083% Neb Soln,albuterol 0.83 mg/ml,albuterol 0.83 mg/ml,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol nebulizer solution,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol
Furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
Neutra-Phos,potassium phosphate,potassium phosphate,potassium phosphate,sodium phosphate/potassium phosphate,sodium phosphate/potassium phosphate,potassium and sodium phosphate,sodium phosphate and potassium phosphate,potassium phosphate,potassium phosphate,potassium phosphate,phosphonoformic acid,phosphates,phosphonoformic acid,phosphonoformic acid,phosphonoformic acid,potassium phosphate,potassium phosphate,the generic name for the drug [,the generic name for the drug [ne,the generic name for the drug [ne,neutraphos can be classified as sod,neutraphosphate,potassium phosphate,potassium phosphate,neutra-phos -> sodium phosphate,neutra-phos -> sodium phosphate,neutra-phos -> sodium phosphate,neutra-phos -> sodium phosphate,neutra-phos,potassium phosphate,potassium phosphate,sodium phosphate,sodium/potassium phosphate,sodium phosphate,sodium phosphate,sodium phosphate
Heparin Sodium,heparin,heparin,heparin sodium,heparin sodium,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin sodium,heparin sodium,heparin sodium,heparin sodium,heparin sodium,heparin sodium can be simpl,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
Heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
Senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,"sure, i can help you with","sure, i can help you with that","sure, i can help with that.",senna,senna,senna,sennosides,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna
Pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole
Ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
Calcium Gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium,calcium,calcium,calcium,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium
LR,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6 mg/ml / sodium lactate 3.1 mg/ml,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6,levothyroxine,lactated ringers solution,lactated ringers solution,leuprolide,lactated ringers solution,lactated ringers,lactated ringers,levothyroxine,levothyroxine,levorphanol,levorphanol,levetiracetam,calcium chloride 0.,calcium chloride potassium,the generic name for [lr],the generic name for [lr],the generic name for [lr],the generic name for [lr],lisinopril,calcium chloride / potassium chloride / sodium,calcium chloride / potassium chloride / sodium,the generic name for the drug [lr,the generic name for [lr] is,the generic name for the drug [lr,the generic name for the drug [lr,lactated ringers,calcium chloride 0.2 mg,calcium chloride 0.2 mg,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
Heparin Flush (10 units/ml),heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride -> potassium chloride (no change,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium,potassium,potassium,potassium,potassium
