drugname,generic_name,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
DEXTROSE 50%-WATER,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50% in,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 500 mg/ml,glucose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose
GLUCOSE 15 GRAM/60 ML BQ LIQ,glucose,glucose 250 mg/ml,glucose 250 mg/ml,glucose 250 mg/ml,glucose 15%,glucose 15%,glucose 15%,glucose 25%,glucose,glucose,glucose,glucose,glucose,glucose,dextrose,glucose,glucose,glucose,glucose,glucose 15 grams,glucose 15 grams,glucose 15%,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose,glucose
MAGNESIUM SULFATE 2 GM/50 ML IVPB,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate intravenous,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate
potassium CHLORIDE 20 mEq in,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,"sure, id be happy to",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
potassium CHLORIDE 20 MEQ TR TAB,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
100 ML - POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,potassium chloride,potassium chloride 20 meq/100ml,potassium chloride 20 meq/100ml,potassium chloride 20 meq/100ml,potassium chloride 20 meq/100ml,potassium chloride 20 meq/100ml,potassium chloride 20 meq/100ml,potassium chloride 20 meq/100ml,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
INSULIN-LISPRO (rDNA) *UNIT* INJ,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin-lispro,insulin-lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro
acetaMINOPHEN 325 MG TAB,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
POTASSIUM CHLORIDE 20 MEQ PO PACK,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
PANTOPRAZOLE SODIUM 40 MG IV SOLR,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole
PANTOPRAZOLE SODIUM 40 MG PO TBEC,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole
"Sodium Chloride 0.9% 1,000 ML BAG",sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
LASIX,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,lasix is a trade name for the,lasix is a diuretic,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
2 ML VIAL : ONDANSETRON HCL 4 MG/2ML IJ SOLN,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron hcl,ondansetron hcl,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
Dextrose 50%,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,the generic name for [dext,dextrose 50%,dextrose,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose
MORPHINE 2 MG/1 ML 1 ML SYR,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,"sure, i can help you with",morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
ACETAMINOPHEN,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
ASPART insulin,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,aspart,aspart,aspart,aspart,aspart,aspart,insulin aspart,aspart insulin,aspart insulin,aspart insulin would be classified as,aspart insulin would be classified as,aspart insulin,aspart insulin,aspart insulin,aspart insulin,aspart insulin,aspart insulin,aspart insulin,aspart insulin,aspart insulin,aspart insulin,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin,insulin aspart
NARCAN,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,narcan is a trade name for,naloxone,naloxone,naloxone,narcan,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,narcan,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone,naloxone
SUBLIMAZE,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,sublimaze is a trade name,the generic name for the drug [,the generic name for the drug [,the generic name for the drug [sub,the generic name for the drug [sub,sublimaze is a trade name for,lorazepam,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
PERCOCET 5/325 TAB,acetaminophen / oxycodone,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminoph,oxycodone/acetaminoph,oxycodone/acetaminoph,oxycodone/acetaminoph,oxycodone acetaminophen,oxycodone-acetaminoph,oxycodone and acetaminoph,percocet is a combination,percocet contains oxy,the generic name for the drug [per,the generic name for the drug [per,oxycodone hydrochloride,percocet is a combination of,oxycodone/acetamin,oxycodone,oxycodone,oxycodone,acetaminophen,percocet,percocet,oxycodone,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone acetaminophen,oxycodone,oxycodone acetaminophen
SODIUM CHLORIDE 0.9 % IV SOLP,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride 0.9%,sodium chloride
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous solution,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride 0.9%,sodium chloride
fentaNYL citrate (PF),fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,the generic name for the drug [f,the generic name for [fentany,fentanyl citrate,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
3 ML VIAL : INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro
potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride -> potassium chloride,potassium chloride -> potassium chloride (no change,potassium chloride -> potassium chloride (no change,potassium chloride -> potassium chloride  the generic,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
SODIUM CHLORIDE 0.9%,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
473 ML - CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,chlorhexidine gluconate,chlorhexidine,chlorhexidine gluconate,chlorhexidine gluconate 0.12%,chlorhexidine gluconate,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine glucon,chlorhexidine glu,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine,chlorhexidine
1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous solution,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride 0.9%,sodium chloride
fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
TYLENOL,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,the generic name for the drug [ty,tylenol is a brand name for,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
GLUCAGON 1 MG (1 UNIT) INJ,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon
50 ML SYRINGE : DEXTROSE 50 % IV SOLN,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 50%,50 % dextrose,dextrose 50%,dextrose 50%,dextrose 50%,50% dextrose solution,50 dextrose solution,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose intravenous solution,dextrose,dextrose 500 mg/ml,dextrose,dextrose 50%,dextrose,dextrose,dextrose
METOPROLOL TARTRATE 25 MG PO TABS,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol tartrate ->,metoprolol tartrate,metoprolol tartrate ->,metoprolol tartrate ->,metoprolol,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol
fentaNYL,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,the generic name for the drug [f,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
