drugname,routeadmin,antibiotic,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
DEXTROSE 50%-WATER,INTRAVENOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
GLUCOSE 15 GRAM/60 ML BQ LIQ,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGNESIUM SULFATE 2 GM/50 ML IVPB,IVPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
potassium CHLORIDE 20 mEq in,IVPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
potassium CHLORIDE 20 MEQ TR TAB,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
100 ML - POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
INSULIN-LISPRO (rDNA) *UNIT* INJ,SubQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acetaMINOPHEN 325 MG TAB,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POTASSIUM CHLORIDE 20 MEQ PO PACK,PER NG TUBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PANTOPRAZOLE SODIUM 40 MG IV SOLR,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation:,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
PANTOPRAZOLE SODIUM 40 MG PO TBEC,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: p,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sodium Chloride 0.9% 1,000 ML BAG",IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
LASIX,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0. lasix is a di,0  explanation: l,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2 ML VIAL : ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. the drug ondanse,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Dextrose 50%,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MORPHINE 2 MG/1 ML 1 ML SYR,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ACETAMINOPHEN,ORAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPART insulin,MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NARCAN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0. narcan is not an,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
SUBLIMAZE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0  explanation: sub,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
PERCOCET 5/325 TAB,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9 % IV SOLP,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0  explanation: s,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
fentaNYL citrate (PF),INTRAVENOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. the drug name fenta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3 ML VIAL : INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. insulin lispro is not,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
potassium chloride,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. potassium chloride,0,0  explanation: pot,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9%,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
473 ML - CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,SWISH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: ch,0,0  explanation: ch,0  explanation: ch,0,0  explanation:,0  explanation:,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0  explanation:,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.  the drug name,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TYLENOL,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: ty,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUCAGON 1 MG (1 UNIT) INJ,SubQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50 ML SYRINGE : DEXTROSE 50 % IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. the drugname dext,0.  the drug name,0. dextrose 50,0  explanation: d,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
METOPROLOL TARTRATE 25 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fentaNYL,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. fentanyl is a,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
MAGNESIUM SULF 2 G/50 ML NS,INTRAVENOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
500 ML - SODIUM CHLORIDE 0.9 % IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: s,0,0. sodium chloride,0  explanation: s,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
FUROSEMIDE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: f,0. furosemide is a,0  explanation: f,0  explanation: f,1,1,0,0,1,0,0,0,0,0,0,0,0,0
propofol,MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: prop,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
D50,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1  justification: v,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
BISACODYL 10 MG RE SUPP,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEXTROSE 50% 25 GRAM/50 ML SYR,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0  explanation: o,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ACETAMINOPHEN,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DILAUDID,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. dilaudid is,0,0  explanation: d,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NITROGLYCERIN 0.4 MG SL SUBL,SL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation:,0  explanation: n,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 ML - FUROSEMIDE 10 MG/ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
37.5 G TUBE : GLUCOSE 40 % PO GEL,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGNESIUM OXIDE 400 MG TAB,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATIVAN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation:,1,0  explanation: a,0  explanation:,0  explanation:,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DEXTROSE 50%,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.  dextrose,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LOVENOX,subCUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: lov,0  explanation: lov,0  explanation:,0  explanation:,1,1,0,0,1,0,1,0,0,0,0,0,0,0
DUONEB,Inhalation,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0  explanation: d,1,1,0,0,0,0,0,0,0,0,0,0,0,0
INSULIN-GLARGINE *UNIT* INJ,SubQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. insulin-glargine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGNESIUM SULFATE 2 G IN NS PREMIX,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GLUCAGEN,IM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9% 250 ML LVP,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
1000 ML - DEXTROSE 5 % IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. the drug dextrose,0. the drug dextrose,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
MORPHINE 4 MG/1 ML 1 ML SYR,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NORCO,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NSS infusion,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1  justification: v,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Lasix,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: las,1,0,0  explanation: las,0  explanation: las,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0  explanation: o,0,0  explanation: o,1,1,1,0,1,0,0,0,0,0,0,0,0,0
MORPHINE INJ,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation:,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9% 1000 ML PB,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
potassium CHLORIDE 20 MEQ UD LIQ,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0. the drug name potass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 ML - HYDROMORPHONE HCL 1 MG/ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. hydromorphone h,0. hydromorphone is,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
FUROSEMIDE,INTRAVENOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. furosemide is a,0  explanation:,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
GLUCAGON HCL (RDNA) 1 MG IJ SOLR,IM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2 ML - FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: f,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3 ML - IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,NEBULIZATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: i,0  explanation: i,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9%,INTRAVENOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SENOKOT-S TAB,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zofran,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: z,1,0,0  explanation: z,0  explanation: z,1,1,0,0,1,0,0,0,0,0,0,0,0,0
METOPROLOL TARTRATE 25 MG TAB,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2 ML : ONDANSETRON HCL 4 MG/2ML IV SOLN,Intravenous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100 ML - MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.  explanation:,0,0,0,0  explanation: magn,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPIRIN 81 MG PO CHEW,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 ML - HYDRALAZINE HCL 20 MG/ML IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0   the drug name,0  explanation: h,0  explanation: h,1,1,1,1,1,0,0,0,0,0,0,0,0,0
MIDAZOLAM,INTRAVENOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. midazolam is not,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
acetaMINOPHEN 650MG RECT SUPP,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 ML PLAS CONT: IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,NEBULIZATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: i,0  explanation: i,1,1,0,1,0,0,0,0,0,0,0,0,0,0
PEPCID,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: p,0,0  explanation:,0  explanation:,1,1,1,1,1,0,1,0,0,0,0,0,0,0
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VANCOMYCIN HCL 1000 MG IV SOLR,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MORPHINE SULFATE,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LORAZEPAM,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: lor,0  explanation: lor,0.  explanation:,0  explanation: lor,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1000 ml flex cont : sodium chloride 0.9 % iv soln,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.  the drug name,0  explanation: s,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9 % IJ SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
FAMOTIDINE 20 MG/2 ML SDV INJ,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: f,1,0,0,1,0,0,0,0,0,0,0,0,0,0
POTASSIUM CHLORIDE,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
INSULIN (REGULAR) 100 UNITS in 1,IVPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOXAPARIN 40 MG/0.4 ML SYR,SubQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: e,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cefepime,MISC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
INSULIN ASPART 100 UNIT/ML SC SOLN,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACETAMINOPHEN 325 MG PO TABS,Oral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
morPHINe,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"SODIUM CHLORIDE 0.9% 1,000 ML BAG",IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
NovoLOG,Subcut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. novolog is not an,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
albuterol-ipratropium 3-0.5mg,MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LACTATED RINGERS IV SOLP,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
POLYETHYLENE GLYCOL 3350 UDPWD,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VERSED,IV,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0  explanation: ver,0  explanation: the,1,1,1,1,1,0,0,0,0,0,0,0,0,0
500 ML FLEX CONT EXCEL : SODIUM CHLORIDE 0.9 % IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
ACETAMINOPHEN 650 MG RE SUPP,RE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCUSATE SODIUM,ORAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
potassium CHLORIDE 10 mEq i,IVPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OXYCODONE IR,ORAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
magnesium sulfate,IVPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.  magnesium,0  explanation: magn,0.  explanation:,0  explanation: magn,0  explanation: magn,1,1,0,1,1,0,0,0,0,0,0,0,0,0
FUROSEMIDE 10 MG/1 ML 2ML SDV INJ,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ZOSYN,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Protonix,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0  explanation: pro,0  explanation: pro,0  explanation: pro,1,1,1,1,1,0,1,0,0,0,0,0,0,0
2 ML VIAL : FENTANYL CITRATE 0.05 MG/ML IJ SOLN,Intravenous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LORazepam 2 MG/1 ML 1 ML INJ,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
INSULIN LISPRO,SUBCUTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.  explanation:,0,0.  explanation:,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
POTASSIUM CHLORIDE ER,ORAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: o,0,0  explanation:,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPIRIN,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
