,hospitalid,drugname,routeadmin,count
84,252,2 ML : ONDANSETRON HCL 4 MG/2ML IV SOLN,Intravenous,3651
85,283,1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,IV,3649
86,176,SODIUM CHLORIDE 0.9% 1000 ML LVP,IV,3642
87,73,10 ML  -  INSULIN GLARGINE 100 UNIT/ML SC SOLN,SC,3620
88,264,SODIUM CHLORIDE 0.9% P.F.,IV,3618
89,167,ONDANSETRON 2 MG/1 ML 2ML SDV INJ,IV Push,3581
90,167,MAGNESIUM SULFATE 2 GM/50 ML IVPB,IVPB,3574
91,411,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,IV,3550
92,73,3 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,SC,3530
93,264,POTASSIUM CHLORIDE,ORAL,3489
94,338,NARCAN,IV,3489
95,183,propofol,MISC,3448
96,79,"SODIUM CHLORIDE 0.9% 1,000 ML BAG",IV,3443
97,73,PANTOPRAZOLE SODIUM 40 MG PO TBEC,PO,3441
98,73,50 ML FLEX CONT : MAGNESIUM SULFATE 4% IJ SOLN,IV,3417
99,264,insulin lispro,Subcutaneous,3371
100,176,GLUCOSE 15 GRAM/60 ML BQ LIQ,PO,3363
101,176,potassium CHLORIDE 20 MEQ TR TAB,PO,3356
102,420,GLUCOSE,ORAL,3353
103,197,potassium chloride,PO,3343
104,176,MAGNESIUM SULFATE 2 GM/50 ML IVPB,IVPB,3332
105,122,SODIUM CHLORIDE 0.9 % SYRINGE 10 ML SYRINGE,IV,3327
106,420,GLUCAGON,SUBCUTAN,3323
107,167,potassium CHLORIDE 20 MEQ TR TAB,PO,3295
108,184,ASPART insulin,MISC,3288
109,181,ASPART insulin,MISC,3257
110,420,meTOPROLOL tartrate,ORAL,3228
111,420,fentaNYL citrate (PF),ZPYXVEND,3181
112,413,ACETAMINOPHEN  325 MG ORAL TAB,Oral,3170
113,244,1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,IV,3165
114,264,DEXTROSE 50%,IV,3164
115,167,potassium CHLORIDE 20 mEq in,IVPB,3162
116,122,ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION 2 ML VIAL,IV,3142
117,338,TYLENOL,Oral,3125
118,264,ONDANSETRON (PF),IV,3120
119,73,50 ML  -  POTASSIUM CHLORIDE 20 MEQ/50ML IV SOLN,IV,3120
120,195,potassium chloride,PO,3113
121,420,POTASSIUM CHLORIDE,GASTRIC TU,3111
122,183,morPHINe,IV,3106
123,277,1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,IV,3102
124,176,ONDANSETRON 2 MG/1 ML 2ML SDV INJ,IV Push,3084
125,183,Zofran,IV,3082
126,449,LIDOCAINE HCL 1 % INJ SOLN,Intradermal,3061
127,458,INSULIN HUMALOG (PER UNIT),SUBCUTAN,3060
128,307,SODIUM CHLORIDE 0.9 % IV : 1000 ML,IV,3059
129,443,FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,3022
130,264,nalOXone,Intravenous,3020
131,176,potassium CHLORIDE 20 mEq in,IVPB,3010
132,183,NovoLOG,Subcut,3005
133,300,ZOFRAN,IV,2997
134,199,chlorHEXIDINE (PERIOGARD) 0.12 % oral rinse 15 mL,ORAL MUCOSA,2983
135,243,250 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,IV,2975
136,443,FUROSEMIDE 10 MG/ML IJ SOLN,IV,2975
137,272,"Sodium Chloride 0.9% 1,000 ML BAG",IV,2942
138,252,50 ML SYRINGE : DEXTROSE 50 % IV SOLN,Intravenous,2907
139,420,morphine,INTRAVENOU,2894
140,252,10 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,Subcutaneous,2889
141,449,SODIUM CHLORIDE BACTERIOSTATIC 0.9 % INJ SOLN,Intradermal,2869
142,420,ENOXAPARIN,SUBCUTAN,2864
143,365,1000 ML : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,IV,2863
144,449,LIDOCAINE-TRANSPARENT DRESSING 4 % EXTERNAL KIT,Topical,2859
145,199,magnesium sulfate 1 g in d5w 100mL **LOCKED DOSE,IVPB,2853
146,443,DEXTROSE 50 % IV SOLN,IV,2852
147,411,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,IV,2848
148,449,INSULIN LISPRO (HUMAN) 100 UNIT/ML SUBCU SOLN EXTEMP INJ,Subcutaneous,2847
149,66,1000 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,IV,2836
150,73,20 ML  -  LIDOCAINE HCL 1 % IJ SOLN,SC,2820
151,452,Dextrose 5% SSO,IV,2806
152,444,SODIUM CHLORIDE 0.9%,IV,2803
153,167,acetaMINOPHEN 325 MG TAB,PO,2791
154,338,DILAUDID,IV,2781
155,420,SENNOSIDES,ORAL,2778
156,443,ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,2770
157,420,METOPROLOL TARTRATE,INTRAVENOU,2763
158,167,PERCOCET 5/325 TAB,PO,2752
159,443,MAGNESIUM SULFATE 50 % IJ SOLN,IV,2749
160,271,SODIUM CHLORIDE,.ROUTE,2749
161,420,WARFARIN,ORAL,2747
162,183,magnesium sulfate,IVPB,2745
163,264,GLUCOSE 40% GEL,ORAL,2741
164,264,GLUCAGON (HUMAN RECOMBINANT),SC,2741
165,338,LASIX,IV,2739
166,413,BISACODYL 10 MG RECT SUPP,Rect,2730
167,338,D50,IV,2728
168,243,POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,PO,2727
169,243,ACETAMINOPHEN 325 MG PO TABS,PO,2725
170,420,ALBUTEROL 90 MCG,INHALATION,2724
171,264,INSULIN HUMAN REGULAR,SC,2699
172,420,LORazepam,INTRAVENOU,2692
173,217,1000 ml flex cont : sodium chloride 0.9 % iv soln,IV,2690
174,300,NARCAN,IV,2669
175,183,albuterol-ipratropium 3-0.5mg,MISC,2663
176,420,CALCIUM GLUCONATE 2 G/50 ML NS,INTRAVENOU,2659
177,73,PANTOPRAZOLE SODIUM 40 MG IV SOLR,IV,2659
178,420,"RINGERS SOLUTION,LACTATED",INTRAVENOU,2598
179,300,D50,IV,2596
180,413,INSULIN LISPRO 100 UNITS/ML SUBQ SOLN,SubQ,2594
181,338,NORCO,Oral,2593
182,416,Albuterol-Ipratropium (DUONEB) nebulizer solution 3 mL,IN,2582
183,180,NaCl 0.9% MBP,MISC,2580
184,277,3 ML PLAS CONT: IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,NEBULIZATION,2567
185,183,potassium chloride,IVPB,2565
186,300,TYLENOL,Oral,2554
187,449,MAGNESIUM SULFATE 2G/SODIUM CHLORIDE 0.9% 100ML STOCK BAG,Intravenous,2541
188,176,MORPHINE 2 MG/1 ML 1 ML SYR,IV Push,2508
189,73,ONDANSETRON 4 MG PO TBDP,PO,2502
190,413,CALCIUM GLUCONATE 100 MG/ML IV SOLN,IV,2499
191,148,potassium CHLORIDE 20 MEQ TR TAB,PO,2498
192,338,SUBLIMAZE,IV,2496
193,307,Albuterol-Ipratropium 2.5MG-0.5MG,DEVICE,2493
194,73,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,2479
195,243,4 ML : FUROSEMIDE 10 MG/ML IJ SOLN,IV,2465
196,420,INSULIN REG 100 UNITS/100 ML,COSIG IV,2463
197,264,FUROSEMIDE,IV,2462
198,252,37.5 G TUBE : DEXTROSE (DIABETIC USE) 40 % PO GEL,Oral,2460
199,73,2 ML VIAL : MIDAZOLAM HCL 2 MG/2ML IJ SOLN,IV,2450
200,176,INSULIN-LISPRO (rDNA) *UNIT* INJ,SubQ,2438
201,148,potassium CHLORIDE 20 mEq in,IVPB,2437
202,264,POTASSIUM CHLORIDE,IV,2413
203,73,1000 ML  -  DEXTROSE-NACL 5-0.45 % IV SOLN,IV,2404
204,307,SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,IV,2398
205,165,SODIUM CHLORIDE 0.9% 1000 ML LVP,IV,2381
206,183,Tylenol,PO,2374
207,167,INSULIN-GLARGINE *UNIT* INJ,SubQ,2373
208,165,MAGNESIUM SULFATE 2 GM/50 ML IVPB,IVPB,2371
209,449,FUROSEMIDE 10 MG/ML INJ SOLN,Intravenous,2370
210,300,SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,IV,2369
211,449,DEXTROSE 50 % IV SOLN,Intravenous,2362
212,252,0.5 ML PLAS CONT : ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,Nebulization,2346
213,148,SODIUM CHLORIDE 0.9% 1000 ML LVP,IV,2346
214,183,cefepime,MISC,2344
215,181,propofol,MISC,2336
216,243,2 ML: FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,2323
217,252,1 ML VIAL : LORAZEPAM 2 MG/ML IJ SOLN,Intravenous,2313
218,264,sodium chloride 0.9%,Intravenous,2311
219,413,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL PWPK,Oral,2298
220,281,FUROSEMIDE,IV,2298
221,167,SODIUM CHLORIDE 0.9% 250 ML LVP,IV,2291
222,176,acetaMINOPHEN 325 MG TAB,PO,2286
223,443,PANTOPRAZOLE SODIUM 40 MG IV SOLR,IV,2284
224,148,GLUCOSE 15 GRAM/60 ML BQ LIQ,PO,2284
225,167,potassium CHLORIDE 20 MEQ UD LIQ,PO,2282
226,199,insulin aspart (NovoLOG) inj,SUBQ,2280
227,300,Midazolam,DEVICE,2278
228,411,CALCIUM GLUCONATE 100 MG/ML IV SOLN,IV,2275
229,199,acetaminophen (TYLENOL) tab 650 mg,PO,2274
230,110,ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION 2 ML VIAL,IV,2264
231,73,SODIUM CHLORIDE 0.9 % BOLUS,IV,2241
232,458,ACETAMINOPHEN,ORAL,2235
233,449,SODIUM CHLORIDE 0.9 % IV SOLN,Intravenous,2227
234,248,2 ML : ONDANSETRON HCL 4 MG/2ML IV SOLN,Intravenous,2223
235,411,HYDROMORPHONE (PF)  1 MG/ML INJ SYRINGE,IV,2222
236,73,2 ML  -  METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,IV,2221
237,338,ATIVAN,IV,2221
238,411,INSULIN LISPRO 100 UNITS/ML SUBQ SOLN,SubQ,2219
239,420,"ASPIRIN, CHILDREN'S",ORAL,2219
240,184,Dextrose 50%,IV,2218
241,73,ASPIRIN 81 MG PO CHEW,PO,2215
242,413,POTASSIUM CHLORIDE  20 MEQ ORAL SR PART/TAB,Oral,2214
243,73,250 ML  -  ALBUMIN HUMAN 5 % IV SOLN,IV,2208
244,243,PANTOPRAZOLE SODIUM 40 MG PO TBEC,PO,2205
245,271,"Sodium Chloride 0.9% 1,000 ML BAG",IV,2205
246,458,sodium chloride 0.9% (NS) infusion,Intravenous,2197
247,338,MORPHINE 5 MG/ML INJECTION : 1 ML VIAL,IV,2182
248,365,100 ML BAG : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,IV,2181
249,338,DUONEB,Inhalation,2169
250,413,DEXAMETHASONE 4 MG/1ML INJECTION,IV,2166
251,148,MAGNESIUM SULFATE 2 GM/50 ML IVPB,IVPB,2166
252,73,10 ML CUP : MAGNESIUM HYDROXIDE 2400 MG/10ML PO SUSP,PO,2166
253,264,SENNA/DOCUSATE SODIUM,ORAL,2165
254,443,HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,SC,2161
255,443,ACETAMINOPHEN 325 MG PO TABS,PO,2159
256,443,SODIUM CHLORIDE 0.9 % IV SOLN,IV,2158
257,449,GLUCOSE-VITAMIN C 4-0.006 G PO CHEW,Oral,2148
258,167,GLUCAGON 1 MG (1 UNIT) INJ,SubQ,2147
259,420,HYDROMORPHONE,INTRAVENOU,2145
260,264,LORAZEPAM,IV,2142
261,331,SODIUM CHLORIDE 0.9 % IV : 1000 ML,IV,2134
262,165,potassium CHLORIDE 20 MEQ TR TAB,PO,2133
263,199,furosemide (LASIX) inj 40 mg,IV PUSH,2129
264,443,VANCOMYCIN HCL 1000 MG IV SOLR,IV,2125
265,73,1 ML  -  HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,SC,2118
266,283,500 ML FLEX CONT EXCEL : SODIUM CHLORIDE 0.9 % IV SOLN,IV,2116
267,413,HYDROMORPHONE (PF)  1 MG/ML INJ SYRINGE,IV,2103
268,449,FENTANYL CITRATE 0.05 MG/ML INJ SOLN (RANGE) PRN,Intravenous,2102
269,73,2 ML  -  FAMOTIDINE 10 MG/ML IV SOLN,IV,2101
270,73,CEFAZOLIN 2 GM IN NS 100 ML IVPB (REPACKAGE),IV,2093
271,413,LACTATED RINGERS IV SOLP,IV,2090
272,73,10 ML  -  MAGNESIUM SULFATE 50 % IJ SOLN,IV,2090
273,420,NALOXONE,INTRAVENOU,2083
274,148,ONDANSETRON 2 MG/1 ML 2ML SDV INJ,IV Push,2082
275,443,IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,Nebulization,2074
276,142,DEXTROSE 50% ABBOJECT,IV,2064
277,331,SODIUM CHLORIDE 0.9%,DEVICE,2059
278,449,HEPARIN SODIUM (PORCINE) PF 5000 UNIT/0.5ML INJ SOLN,Subcutaneous,2053
279,252,ACETAMINOPHEN 325 MG PO TABS,Oral,2052
280,73,30 ML CUP : ALUM & MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML PO SUSP,PO,2047
281,197,potassium chloride ivpb in SW,IVPB,2041
282,413,DOCUSATE SODIUM 250 MG ORAL CAP,Oral,2034
283,73,20 ML  -  LABETALOL HCL 5 MG/ML IV SOLN,IV,2031
284,420,MIDAZOLAM,ZPYXVEND,2027
285,183,GlucaGen,IM,2020
286,281,POTASSIUM CHLORIDE,PO,2015
287,243,MORPHINE SULFATE 2 MG/ML IJ SOLN,IV,2011
288,73,POLYETHYLENE GLYCOL 3350 PO PACK,PO,2009
289,252,POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,Intravenous,2008
290,449,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,Oral,2006
291,280,1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,IV,2004
292,307,NOVOLOG,subCUT,1997
293,73,5 G  -  LIDOCAINE-PRILOCAINE 2.5-2.5 % EX CREA,TP,1994
294,413,OXYCODONE   5 MG ORAL TAB,Oral,1993
295,73,10 ML  -  CALCIUM GLUCONATE 10 % IV SOLN,IV,1992
296,458,ONDANSETRON HCL,INTRAVEN,1989
297,420,BISACODYL,RECTAL,1988
298,264,METOPROLOL,IV,1988
299,264,IPRATROPIUM-ALBUTEROL,INHL,1988
300,252,DOCUSATE SODIUM 100 MG PO CAPS,Oral,1987
301,167,SENOKOT-S TAB,PO,1982
302,443,POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,PO,1981
303,73,1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,IV,1973
304,199,fentaNYL inj 50 mcg,IV PUSH,1972
305,165,ONDANSETRON 2 MG/1 ML 2ML SDV INJ,IV Push,1971
306,73,FENTANYL STANDARD INFUSION 10 MCG/ML PREMIX,IV,1969
307,197,magnesium sulfate ivpb.,IVPB,1966
308,300,LOVENOX,subCUT,1965
309,167,DEXTROSE 50% 25 GRAM/50 ML SYR,IV Push,1961
310,165,GLUCOSE 15 GRAM/60 ML BQ LIQ,PO,1961
311,167,MORPHINE 2 MG/1 ML 1 ML SYR,IV Push,1960
312,281,MIDAZOLAM HCL,.ROUTE,1959
313,338,DEXTROSE 5% IN WATER (D5W) IV : 1000 ML BAG,IV,1951
314,165,potassium CHLORIDE 20 mEq in,IVPB,1945
315,183,"Sodium Chloride 0.9% 1,000 mL",IV,1941
316,252,BISACODYL 10 MG RE SUPP,Rectal,1926
317,199,"hEParin inj 5,000 Units",SUBQ,1924
318,281,MORPHINE SULFATE,IV,1924
319,199,sodium chloride 0.9 % flush peripheral lok 3 mL,IV PUSH,1916
320,122,MAGNESIUM SULFATE 2 GRAM/50 ML IV PIGGY BACK 50 ML FLEX CONT,IV,1915
321,243,POTASSIUM CHLORIDE 10 MEQ/50ML IV SOLN,IV,1911
322,283,50 ML FLEX CONT: MAGNESIUM SULFATE 40 MG/ML IJ SOLN,IV,1908
323,199,albuterol-ipratropium (DUONEB) inhalation solution 3 mL,NEBULIZER,1907
324,198,potassium chloride,PO,1903
325,281,ACETAMINOPHEN,PO,1903
326,420,PANTOPRAZOLE,INTRAVENOU,1902
327,458,MORPHINE 2MG/ML,INTRAVEN,1900
328,180,albuterol-ipratropium 3-0.5mg,MISC,1894
329,449,POTASSIUM CHLORIDE 10 MEQ/100ML IV SOLN,Intravenous,1893
330,181,NaCl 0.9%,MISC,1885
331,165,MORPHINE 2 MG/1 ML 1 ML SYR,IV Push,1875
332,420,VANCOMYCIN 1 G/200 ML D5W,INTRAVENOU,1872
333,420,HALOPERIDOL LACTATE,INTRAVENOU,1869
334,458,FUROSEMIDE,INTRAVEN,1866
335,148,acetaMINOPHEN 325 MG TAB,PO,1864
336,73,10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,IV,1862
337,73,MUPIROCIN 2 % OINT 1 G SYRINGE,EACH NARE,1859
338,171,GLUCOSE 15 GRAM/60 ML BQ LIQ,PO,1848
339,420,predniSONE,ORAL,1839
340,338,BUMINATE,IV,1836
341,181,Dextrose 50%,IV,1836
342,458,ondansetron (ZOFRAN) injection 4 mg,Intravenous,1830
343,176,PERCOCET 5/325 TAB,PO,1829
344,420,ATORVASTATIN,ORAL,1829
345,336,SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,IV,1827
346,413,MAGNESIUM SULFATE 50 % (4 MEQ/ML) INJ,IV,1827
347,176,GLUCAGON 1 MG (1 UNIT) INJ,SubQ,1824
348,73,250 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,IV,1823
349,199,ondansetron (ZOFRAN) inj 4 mg,IV PUSH,1812
350,195,Magnesium Sulfate ivpb,IVPB,1812
351,283,10 ML VIAL: INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,SC,1811
352,264,BISACODYL,RTL,1811
353,148,MORPHINE 2 MG/1 ML 1 ML SYR,IV Push,1811
354,420,cefTRIAXone,INTRAVENOU,1804
355,180,ASPART insulin,MISC,1804
356,73,FUROSEMIDE 40 MG PO TABS,PO,1801
357,243,PANTOPRAZOLE SODIUM 40 MG IV SOLR,IV,1798
358,183,potassium phosphate 3 mmol/mL15 mL Inj,IVPB,1797
359,180,Dextrose 50%,IV,1795
360,338,PEPCID,Oral,1789
361,79,fentaNYL CITRATE INJ,IVP,1785
362,227,ondansetron,IntraVENOUS,1785
363,300,fentaNYL,DEVICE,1784
364,157,potassium CHLORIDE 20 mEq in,IVPB,1782
365,152,PERCOCET 5/325 TAB,PO,1780
366,458,DEXTROSE 50% VIAL,INTRAVEN,1776
367,199,albuterol sulfate (PROVENTIL) (2.5 MG/3ML) 0.083% inhalation solution 2.5 mg,NEBULIZER,1774
368,227,potassium chloride,IntraVENOUS,1774
369,300,VERSED,IV,1773
370,411,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",IV,1770
371,413,"HEPARIN, PORCINE (PF) 5000 UNIT/0.5 ML INJ SYRINGE",SubQ,1766
372,443,POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,IV,1765
373,184,cefepime,MISC,1762
374,183,sodium phosphate 3 mmol/mL 15 mL Inj,IVPB,1760
375,449,HYDROMORPHONE HCL PF INJ SOLN (RANGE) PRN,Intravenous,1759
376,148,INSULIN-LISPRO (rDNA) *UNIT* INJ,SubQ,1758
377,443,LORAZEPAM 2 MG/ML IJ SOLN,IV,1756
378,195,Lasix,IV,1754
379,307,ZOFRAN,IV,1752
380,283,3 ML PLAS CONT: IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,NEBULIZATION,1746
381,176,MAGNESIUM OXIDE 400 MG TAB,PO,1745
382,73,1 ML VIAL : DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,IV,1744
383,184,propofol,MISC,1741
384,167,POLYETHYLENE GLYCOL 3350 UDPWD,PO,1740
385,420,PIPERACILLIN/TAZOBACTAM,INTRAVENOU,1739
386,73,OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,1739
387,167,MAGNESIUM OXIDE 400 MG TAB,PO,1737
388,264,TRAZODONE,ORAL,1737
389,281,Ondansetron,IV,1737
390,345,SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,IV,1736
391,264,sodium chloride 0.9 %,Intravenous,1735
392,176,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV Push,1733
393,283,2 ML: ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,1733
394,449,GLUCAGON HCL (RDNA) 1 MG INJ SOLR,Subcutaneous,1733
395,183,dexmedetomidine,MISC,1725
396,183,potassium chloride,PO,1713
397,73,ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,SC,1713
398,443,INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,SC,1708
399,338,MIDAZOLAM,DEVICE,1706
400,264,HYDROmorphone,Intravenous,1705
401,73,FAMOTIDINE 20 MG PO TABS,PO,1705
402,338,LACTATED RINGERS IV : 1000 ML BAG,IV,1705
403,283,PANTOPRAZOLE SODIUM 40 MG IV SOLR,IV,1704
404,345,sodium cl 0.9% FLUSH 1ea/10ml,DEVICE,1703
405,307,DILAUDID,IV,1699
406,413,DEXTROSE 50 % IN WATER (D50W) IV SYRINGE,IV,1698
407,199,oxyCODONE (OXY IR) cap-tab 5 mg,PO,1698
408,413,LABETALOL 5 MG/ML IV SOLN,IV,1695
