,drug,ndc,route,count
111,TraZODone,00904399061,PO/NG,21313
112,DiphenhydrAMINE,00641037625,IV,21244
113,DiphenhydrAMINE,00904530661,PO/NG,21107
114,Furosemide,00517570225,IV,21091
115,Ondansetron,51079052420,PO/NG,20133
116,1/2 NS,00338004304,IV,20061
117,Pneumococcal Vac Polyvalent,00006473900,IM,19618
118,Metoprolol Tartrate,00409177805,IV,19383
119,Simvastatin,51079045420,PO/NG,19376
120,Lorazepam,00904598061,PO/NG,19290
121,Omeprazole,63739035810,PO,19095
122,0.9% Sodium Chloride,00338004902,IV DRIP,19049
123,Warfarin,00056017675,PO/NG,18972
124,Dextrose 5%,00338001704,IV,18963
125,0.45% Sodium Chloride,00338004304,IV,18926
126,TraMADOL (Ultram),00406717162,PO,18766
127,Ranitidine,00904526161,PO/NG,18402
128,Lidocaine 5% Patch,00591352530,TD,18401
129,Albuterol Inhaler,00173068224,IH,18183
130,Tacrolimus,00781210301,PO,18130
131,Heparin Flush (10 units/ml),08290306525,IV,17869
132,Potassium Chloride,00603155404,PO,17709
133,Acetaminophen,00121065721,PO/NG,17702
134,Famotidine,51079096620,PO/NG,17685
135,Metoclopramide,00703450204,IV,17657
136,Nitroglycerin,00338105102,IV DRIP,17571
137,Vitamin D,00904582460,PO/NG,17484
138,Insulin Human Regular,00002821501,IV DRIP,17421
139,NS,00338004904,IV,17248
140,Furosemide,00409610210,IV,17237
141,Potassium Chloride,00409707714,IV,16930
142,Morphine Sulfate,00641607325,IV,16925
143,Aspirin EC,63739027201,PO,16884
144,Calcium Gluconate,63323031110,IV,16814
145,Atorvastatin,00071015892,PO/NG,16675
146,5% Dextrose,00338001703,IV,16600
147,Thiamine,00904054460,PO/NG,16587
148,Vitamin D,10432017002,PO/NG,16558
149,Acetaminophen,00121197100,PO/NG,16540
150,Fentanyl Citrate,61553011841,IV DRIP,16462
151,Pantoprazole,00904647461,PO,16459
152,HYDROmorphone (Dilaudid),61553020648,IVPCA,16062
153,Morphine Sulfate,10019017644,IV,15971
154,Acetaminophen,00904673061,PO/NG,15951
155,HydrALAzine,17478093401,IV,15869
156,Heparin Flush (10 units/ml),08290306510,IV,15781
157,Ferrous Sulfate,00245005301,PO/NG,15632
158,HydrALAZINE,63323061401,IV,15436
159,Docusate Sodium,00121054410,PO/NG,15140
160,5% Dextrose,00338001731,IV DRIP,15032
161,0.9% Sodium Chloride,00338004931,IV,15021
162,Ciprofloxacin IV,00409477702,IV,14992
163,Aspirin,63739002401,PO/NG,14983
164,Furosemide,51079007320,PO/NG,14983
165,Heparin Dwell (1000 Units/mL),63323054011,DWELL,14917
166,Prochlorperazine,51079054220,PO,14715
167,Oxycodone-Acetaminophen,00406051262,PO,14660
168,Diazepam,51079028520,PO/NG,14615
169,Simethicone,00182864389,PO,14517
170,PNEUMOcoccal 23-valent polysaccharide vaccine,00006494300,IM,14392
171,traZODONE,00904399061,PO/NG,14313
172,Citalopram,60505251903,PO/NG,14305
173,Morphine Sulfate,00409125830,IV,14222
174,Neomycin-Polymyxin-Bacitracin,00168001231,TP,14142
175,Sarna Lotion,54162055007,TP,14113
176,0.9% Sodium Chloride,00338004911,IV,14104
177,Albumin 25% (12.5g / 50mL),67467064301,IV,14086
178,Hydrochlorothiazide,00603385521,PO/NG,14016
179,Heparin Sodium,00338055002,IV,13788
180,Milk of Magnesia,00121043130,PO/NG,13682
181,Lidocaine 5% Patch,63481068706,TD,13646
182,Acetaminophen,00904677361,PO/NG,13628
183,Fluticasone Propionate 110mcg,00173071920,IH,13607
184,HYDROmorphone (Dilaudid),00074233411,IVPCA,13487
185,Metoprolol Tartrate,55390034810,IV,13424
186,Gabapentin,00172438210,PO/NG,13389
187,Influenza Vaccine Quadrivalent,19515089452,IM,13302
188,Acetaminophen,00713016550,PR,13241
189,Albuterol 0.083% Neb Soln,00487950101,IH,13194
190,Simvastatin,51079045620,PO/NG,13179
191,Sodium Phosphate,00409739172,IV,12904
192,Influenza Vaccine Quadrivalent,19515090941,IM,12884
193,Furosemide,00182116189,PO/NG,12854
194,Thiamine,63323001302,IV,12818
195,HYDROmorphone (Dilaudid),00054839224,PO,12788
196,FoLIC Acid,62584089701,PO/NG,12527
197,Heparin Flush (100 units/ml),64253033335,IV,12479
198,MetRONIDAZOLE (FLagyl),00338105548,IV,12464
199,Influenza Virus Vaccine,33332001001,IM,12461
200,Influenza Vaccine Quadrivalent,49281041550,IM,12398
201,Phosphorus,64980010401,PO,12364
202,Senna,57896045208,PO/NG,12337
203,Lorazepam,51079038620,PO/NG,12275
204,D5NS,00338008904,IV,12207
205,Albumin 25% (12.5g / 50mL),00944049302,IV,12194
206,Tiotropium Bromide,00597007575,IH,12194
207,Potassium Chloride Replacement (Critical Care and Oncology) ,76439034310,PO,12175
208,Lactulose,00054848616,PO/NG,12166
209,Lactulose,00121457735,PO/NG,12115
210,Acetaminophen,00182845389,PO,12113
211,Metoprolol Tartrate,00143987310,IV,12087
212,Potassium Chloride,00409665106,IV,12006
213,Insulin,00002871501,SC,11973
214,OxyCODONE (Immediate Release),68084035401,PO/NG,11960
215,PNEUMOcoccal 23-valent polysaccharide vaccine,00006473900,IM,11946
216,Lidocaine Jelly 2% (Glydo),25021067376,TP,11910
217,Aluminum-Magnesium Hydrox.-Simethicone,00121176130,PO/NG,11858
218,PredniSONE,00054001820,PO/NG,11844
219,CefazoLIN,00264310311,IV,11749
220,Influenza Virus Vaccine,49281001350,IM,11718
221,Aspirin,00904404073,PO,11593
222,CefazoLIN,00264310511,IV,11549
223,Furosemide,00409610210,IV DRIP,11546
224,CeftriaXONE,00338500241,IV,11462
225,CefazoLIN,00781345295,IV,11446
226,Ondansetron,70860077602,IV,11376
227,Influenza Virus Vaccine,33332001201,IM,11357
228,Pneumococcal Vac Polyvalent,00006494300,IM,11346
229,Readi-Cat 2 (Barium Sulfate 2% Suspension),32909071503,PO/NG,11275
230,PredniSONE,00054872425,PO/NG,11234
231,Acetaminophen,00182844789,PO/NG,11204
232,Influenza Virus Vaccine,33332001101,IM,11152
233,Aluminum-Magnesium Hydrox.-Simethicone,00121176130,PO,11119
234,Enoxaparin Sodium,00075062040,SC,11012
235,Milk of Magnesia,66689036430,PO,10971
236,Torsemide,68084053901,PO/NG,10925
237,Metoprolol Tartrate,62584026501,PO/NG,10924
238,Aspirin,00904628889,PO/NG,10914
239,Aspirin,63739002401,PO,10893
240,Ketorolac,00409379501,IV,10875
241,Lidocaine Jelly 2% (Urojet),76329301205,TP,10791
242,Aspirin,68016001129,PO/NG,10781
243,Sulfameth/Trimethoprim DS,00904272561,PO/NG,10712
244,Amiodarone,51079090620,PO/NG,10708
245,Senna,54162000708,PO/NG,10669
246,Morphine Sulfate,00641612525,IV,10666
247,Ranitidine,00904526161,PO,10628
248,Potassium Chloride,69543037910,PO,10533
249,Lactulose,50383077933,PO/NG,10449
250,Clopidogrel,63653117103,PO/NG,10362
251,Labetalol,00172436560,PO/NG,10331
252,NS,00338004903,IV,10324
253,Lorazepam,00904150061,PO,10226
254,Fentanyl Citrate,10019003867,IV,10215
255,Atenolol,51079075920,PO/NG,10206
256,Lorazepam,51079041720,PO/NG,10156
257,Furosemide,00517571025,IV DRIP,10155
258,Fluticasone Propionate NASAL,00054327099,NU,10143
259,Metoprolol Tartrate,00904777261,PO/NG,10136
260,Metoprolol Tartrate,55390007310,IV,10132
261,5% Dextrose,00409792337,IV,10083
262,Fentanyl Citrate,00409909332,IV,10072
263,Vancomycin,00338358048,IV,10034
264,Carvedilol,51079093120,PO/NG,10014
265,Ondansetron,00409475503,IV,9856
266,Metoprolol Tartrate,00904634061,PO/NG,9855
267,Alteplase (Catheter Clearance),50242004413,IV,9785
268,Fluticasone-Salmeterol Diskus (250/50) ,00173069604,IH,9782
269,Potassium Chloride Replacement (Critical Care and Oncology) ,00603155404,PO,9769
270,FoLIC Acid,51079010520,PO/NG,9729
271,Simethicone,00182864389,PO/NG,9724
272,Tamsulosin,00904640161,PO,9686
273,Lisinopril,51079098320,PO/NG,9651
274,PredniSONE,49999002812,PO/NG,9631
275,Potassium Chloride (Powder),00456066270,PO/NG,9603
276,OxycoDONE (Immediate Release) ,68084035401,PO/NG,9599
277,Vitamin D,10432017002,PO,9576
278,HYDROmorphone (Dilaudid),00406324301,PO/NG,9516
279,Polyethylene Glycol,51991045757,PO/NG,9504
280,Clopidogrel,00904629461,PO/NG,9493
281,Docusate Sodium,57896042101,PO/NG,9408
282,Lidocaine 1% (For PICC/Midline Insertions),63323049289,SC,9363
283,CefTRIAXone,00409733201,IV,9357
284,Pantoprazole,00904623561,PO,9356
285,Mirtazapine,51079008620,PO/NG,9282
286,Haloperidol,63323047401,IV,9197
287,Oxycodone-Acetaminophen,63481062375,PO,9163
288,Allopurinol,51079020520,PO/NG,9162
289,Heparin,00641040012,SC,9146
290,Ketorolac,63323016101,IV,9084
291,Docusate Sodium,00904645561,PO,9057
292,Albumin 5% (12.5g / 250mL),00944049505,IV,9040
293,5% Dextrose,00409792337,IV DRIP,9039
294,Meropenem,00310032520,IV,9007
295,Metoprolol Succinate XL,68084066601,PO,8999
296,Metoprolol Succinate XL,58177029311,PO,8998
297,Acetaminophen,00904198261,PO,8940
298,MetRONIDAZOLE (FLagyl),00409781124,IV,8895
299,Ipratropium Bromide MDI,00597008717,IH,8876
300,MetFORMIN (Glucophage),51079097220,PO,8846
301,Losartan Potassium,68084034701,PO/NG,8842
302,Ketorolac,00409379301,IV,8809
303,LORazepam,51079041720,PO/NG,8799
304,Ibuprofen,00904585361,PO,8779
305,Pantoprazole,00008092360,IV,8708
306,MoviPrep,65649020175,PO,8707
307,Ramelteon,64764080530,PO/NG,8643
308,TraMADol,00904636561,PO,8633
309,Phytonadione,00409915801,IV,8594
310,Albuterol Inhaler,00173068254,IH,8562
311,Warfarin,00056017275,PO,8548
312,Metoprolol Succinate XL,00186109239,PO,8538
313,Pantoprazole Sodium,00008092355,IV,8506
314,Fluticasone Propionate NASAL,60505082901,NU,8475
315,Sulfameth/Trimethoprim SS,53746027101,PO/NG,8467
316,Levothyroxine Sodium,00074518211,PO/NG,8455
317,NS (Mini Bag Plus),00338055318,IV,8432
318,0.9% Sodium Chloride,00338630403,IV,8427
319,Clopidogrel,63653117103,PO,8401
320,Levothyroxine Sodium,00074662411,PO/NG,8394
321,LOPERamide,51079069020,PO/NG,8377
322,FoLIC Acid,00182050789,PO/NG,8350
323,Dexamethasone,63323016501,IV,8306
324,sevelamer CARBONATE,58468013001,PO,8174
325,Diltiazem,63739007910,PO/NG,8046
326,Artificial Tears,00023050601,BOTH EYES,8008
327,Prochlorperazine,55390007710,IV,8005
328,Atenolol,51079068420,PO/NG,8001
329,Docusate Sodium (Liquid),00121054410,PO,7951
330,Levothyroxine Sodium,00074455211,PO/NG,7893
331,Dibucaine,00168004631,TP,7851
332,Potassium Chloride,68084052401,PO,7851
333,Vancomycin,00338355148,IV,7826
334,Benzonatate,58177009111,PO,7824
335,Bisacodyl,00182853489,PO,7804
336,Lisinopril,51079098220,PO/NG,7801
337,Metoprolol Succinate XL,68084065901,PO,7797
338,Vitamin D,00904582461,PO/NG,7768
339,D5LR,00338012504,IV,7749
340,Oxycodone-Acetaminophen (5mg-325mg),00406051262,PO,7740
341,Apixaban,00003089431,PO/NG,7727
342,HYDROmorphone,61553020648,IVPCA,7726
343,Metoprolol Tartrate,00378003201,PO/NG,7692
344,Lisinopril,00904580961,PO/NG,7690
345,Sodium Bicarbonate,66553000801,PO/NG,7622
346,Polyethylene Glycol,00904642281,PO/NG,7614
347,Cyclobenzaprine,51079064420,PO/NG,7612
348,Tamsulosin,51079029420,PO,7589
349,Aspirin,66553000201,PO/NG,7588
350,QUEtiapine Fumarate,00904627761,PO/NG,7543
351,Furosemide,00517571025,IV,7526
352,Promethazine,00641092825,IV,7523
353,Gabapentin,68084076201,PO/NG,7493
354,HYDROmorphone (Dilaudid),42858030125,PO/NG,7446
355,CeFAZolin,00264310511,IV,7437
356,amLODIPine,50268008415,PO/NG,7434
357,CeFAZolin,00338350841,IV,7429
358,Potassium Chloride (Powder),76439034310,PO/NG,7420
359,HydrALAzine,63323061401,IV,7419
360,Insulin,00169750111,SC,7397
361,Potassium Chl 20 mEq / 1000 mL NS,00338069104,IV,7387
362,Furosemide,63323028002,IV,7359
363,MetRONIDAZOLE (FLagyl),51079012620,PO/NG,7331
364,NORepinephrine,61553012011,IV DRIP,7251
365,PHENYLEPHrine,10019016312,IV DRIP,7236
366,amLODIPine,68084025901,PO/NG,7211
367,Lorazepam,68084008901,PO/NG,7202
368,Spironolactone,68084020601,PO/NG,7199
369,HydrALAzine,00517090125,IV,7150
370,Pravastatin,51079045820,PO,7099
371,5% Dextrose,00338001738,IV,7070
372,Vancomycin Oral Liquid,63323031461,PO/NG,7056
373,Propofol,63323026920,IV DRIP,7044
374,PredniSONE,00054001720,PO/NG,7043
375,Amiodarone,63323061603,IV,7039
376,Warfarin,00056016975,PO,7031
377,Lidocaine 1%,00409471332,SC,7006
378,Piperacillin-Tazobactam,00206885216,IV,7000
379,Phenylephrine,10019016312,IV DRIP,6994
380,Aspirin,00904404073,NG,6988
381,Multivitamins W/minerals,00904504260,PO,6982
382,Lisinopril,00172375810,PO/NG,6980
383,Labetalol,55390013020,IV,6959
384,Omeprazole,51079000720,PO,6955
385,Atorvastatin,68084009801,PO/NG,6933
386,LeVETiracetam,50474059540,PO,6919
387,Tacrolimus,00469061711,PO,6902
388,Potassium Chloride,63323096520,IV,6886
389,Spironolactone,63739054410,PO/NG,6883
390,Dexamethasone,00054817525,PO/NG,6866
391,LORazepam,63739049910,PO/NG,6841
392,Alteplase (Catheter Clearance),50242004164,IV,6837
393,DiphenhydrAMINE,63323066401,IV,6807
394,Ampicillin-Sulbactam,63323036920,IV,6791
395,NS,00338004902,IV,6777
396,Potassium Chloride Replacement (Critical Care and Oncology) ,00245004101,PO,6769
397,Acyclovir,50268006115,PO/NG,6759
398,HYDROmorphone (Dilaudid),00074241612,PO,6759
399,Ascorbic Acid,00904052361,PO/NG,6758
400,Mycophenolate Mofetil,00004026001,PO,6716
401,Gabapentin,68084007965,PO/NG,6713
402,PredniSONE,00054001820,PO,6710
403,Lisinopril,00172376010,PO,6708
404,CefePIME,44567024110,IV,6700
405,Oxycodone-Acetaminophen,00406051262,PO/NG,6633
406,Metoprolol Succinate XL,00904632261,PO,6628
407,Influenza Virus Vaccine,58160087546,IM,6613
408,MethylPREDNISolone Sodium Succ,00009003928,IV,6594
409,Metoprolol Tartrate,51079080120,PO,6592
410,Propofol,63323029766,IV DRIP,6550
411,Senna,00904652261,PO,6540
412,Lactulose,00054848616,PO,6521
413,Guaifenesin,00121174410,PO/NG,6427
414,Diazepam,51079028620,PO/NG,6421
415,Docusate Sodium (Liquid),00121054410,PO/NG,6385
416,DiphenhydrAMINE,17714002001,PO,6374
417,traZODONE,00904399061,PO,6347
418,PHENYLEPHrine,00641614225,IV DRIP,6345
419,Dexamethasone,00641036725,IV,6338
420,Tetanus-DiphTox-Acellular Pertuss (Adacel),49281040015,IM,6327
421,Metoclopramide,00409341401,IV,6311
422,Hydrocodone-Acetaminophen,00406035762,PO,6304
423,Midazolam,61553019648,IV DRIP,6294
424,Amiodarone,63323061603,IV DRIP,6289
425,Albumin 5% (25g / 500mL),68516521402,IV,6225
426,Lorazepam,00904150161,PO,6219
427,Miconazole Powder 2%,00064065001,TP,6208
428,ClonazePAM,51079088220,PO/NG,6195
429,HYDROmorphone (Dilaudid),59011045210,PO/NG,6191
430,Rifaximin,65649030303,PO/NG,6186
431,Nadolol,51079081220,PO,6172
432,Isosorbide Mononitrate (Extended Release),58177022211,PO,6164
433,Sodium Polystyrene Sulfonate,46287000660,PO/NG,6153
434,Morphine Sulfate IR,00054023524,PO/NG,6135
435,DiphenhydrAMINE,00904530661,PO,6121
436,MetroNIDAZOLE,00338105548,IV,6115
437,Tamsulosin,00781207601,PO,6114
438,FoLIC Acid,63323018410,IV,6113
439,Ranitidine,68094020462,PO/NG,6086
440,Midodrine,51079045320,PO,6085
441,Insulin,00002751101,SC,6079
442,Vancomycin,47781059891,IV,6060
443,Oxycodone-Acetaminophen (5mg-325mg),00406051262,PO/NG,6053
444,OxyCODONE (Immediate Release),00121483940,PO/NG,6043
445,Furosemide,00182117089,PO,6016
446,FoLIC Acid,00182050789,PO,5994
447,Magnesium Citrate,00363069338,PO,5970
448,Lidocaine Jelly 2% (Urojet),00548301200,TP,5957
449,Ciprofloxacin HCl,00172531210,PO,5956
450,Nitroglycerin SL,58177032304,SL,5947
451,Phosphorus,64980010401,PO/NG,5935
452,5% Dextrose,00338001701,IV,5933
453,Aspirin EC,17714001110,PO,5920
454,Warfarin,00056017075,PO,5840
455,Rosuvastatin Calcium,00310075239,PO,5805
456,Atropine Sulfate,00409491134,IV,5798
457,Potassium Chloride Replacement (Oncology),00245004101,PO,5782
458,Ondansetron,67457044022,IV,5769
459,Ramelteon,64764080510,PO/NG,5751
460,Hydrochlorothiazide,00603385521,PO,5746
461,Fluoxetine,00093435693,PO/NG,5744
462,Tacrolimus,00781210401,PO,5733
463,ValGANCIclovir,00004003822,PO,5725
464,Atorvastatin,68084009901,PO/NG,5721
465,Simvastatin,51079045420,PO,5718
466,Lisinopril,00904580861,PO/NG,5714
467,Simvastatin,51079045620,PO,5709
468,Influenza Vaccine Quadrivalent,19515090641,IM,5708
469,Morphine SR (MS Contin),00406833062,PO,5702
470,Gabapentin,63739037510,PO/NG,5698
471,Sodium Chloride Nasal,00904386575,NU,5691
472,TraZODone,50111043301,PO/NG,5662
473,Hydrocortisone Na Succ.,00009001104,IV,5641
474,Dextrose 50%,76329330101,IV,5630
475,Nephrocaps,68084006501,PO,5629
476,Metoprolol Tartrate,36000003310,IV,5619
477,Lisinopril,00172375810,PO,5603
478,Propofol,63323026929,IV DRIP,5602
479,Gabapentin,60505011300,PO/NG,5601
480,Gabapentin,00172438210,PO,5582
481,Furosemide,51079007320,PO,5575
482,Potassium Chloride Replacement (Critical Care and Oncology) ,69543037910,PO,5572
483,Pregabalin,00071101441,PO/NG,5562
484,Azithromycin,54569452202,PO/NG,5561
485,Sodium Chloride 3% (Hypertonic),00338005403,IV,5558
486,Potassium Chloride,00574027511,PO,5547
487,Heparin Dwell (1000 Units/mL),25021040010,DWELL,5546
488,Bisacodyl,00713010950,PR,5540
489,ClonazePAM,51079088120,PO/NG,5536
490,Furosemide,51079052720,PO/NG,5533
491,Amoxicillin-Clavulanic Acid,66685100101,PO/NG,5529
492,Dextrose 50%,00409751716,IV,5520
493,Docusate Sodium,00121054410,PO,5505
494,Phytonadione,00187170405,PO/NG,5488
495,Metolazone,51079002420,PO,5475
496,Nitroglycerin,00409148402,IV DRIP,5437
497,Doxercalciferol,58468012601,IV,5430
498,Cyanocobalamin,50268085415,PO/NG,5412
499,Atorvastatin,00904629261,PO/NG,5385
500,Fish Oil (Omega 3),10939033733,PO,5364
501,Clopidogrel,51079055720,PO/NG,5354
502,Amlodipine,59762153005,PO,5349
503,Atorvastatin,51079021103,PO/NG,5348
504,Nystatin Oral Suspension,00472500360,PO,5345
505,Furosemide,63323028004,IV,5315
506,Metoprolol Tartrate,51079080120,PO/NG,5294
507,HydrALAZINE,68084044701,PO/NG,5266
508,Enoxaparin Sodium,00075062430,SC,5242
509,Albuterol 0.083% Neb Soln,00487950125,IH,5167
510,Finasteride,51079052020,PO,5158
511,Amiodarone,00904655661,PO/NG,5129
512,Tacrolimus,00781210201,PO,5129
513,Potassium Chloride Replacement (Oncology),58177020211,PO,5093
514,Morphine Sulfate,00338268975,IVPCA,5069
515,amLODIPine,51079045120,PO/NG,5049
516,PredniSONE,00054001720,PO,5040
517,HydrOXYzine,68084025401,PO/NG,5021
518,Sodium Chloride Nasal,00256015201,NU,5006
519,Ferrous Sulfate,00182402889,PO,4983
520,CefePIME,60505083404,IV,4982
521,Lisinopril,51079098120,PO/NG,4980
522,Ibuprofen,62584074601,PO,4965
523,Nitroglycerin SL,00071041724,SL,4957
524,CeftriaXONE,00004196401,IV,4947
525,Cepacol (Sore Throat Lozenge),63824072283,PO,4943
526,Albuterol Inhaler,17270072101,IH,4940
527,Ketorolac,10019002902,IV,4939
528,Spironolactone,51079098020,PO/NG,4938
529,Acetaminophen (Liquid),00121065721,PO/NG,4937
530,Chloraseptic Throat Spray,00536242558,PO,4899
531,Diazepam,00409127332,IV,4891
532,CloniDINE,51079029920,PO,4885
533,Aspirin EC,63739052201,PO,4876
534,Meperidine,00409117830,IV,4875
535,Lisinopril,68084006001,PO/NG,4863
536,Olanzapine (Disintegrating Tablet),00002445385,PO,4846
537,Lisinopril,00378207201,PO/NG,4838
538,Ranitidine,63739048910,PO/NG,4828
539,Morphine SR (MS Contin),00406831562,PO,4826
540,Albumin 25% (12.5g / 50mL),00944049301,IV,4795
541,MetroNIDAZOLE,00409781124,IV,4772
542,Lisinopril,00172376010,PO/NG,4770
543,Ibuprofen,00182181089,PO,4765
544,Citalopram Hydrobromide,60505251903,PO,4756
545,TraMADOL (Ultram),57664037708,PO,4731
546,CefePIME,25021012120,IV,4705
547,Sertraline,00904586761,PO/NG,4680
548,Metoprolol Tartrate,00378001805,PO/NG,4679
549,Potassium Chloride,00409707426,IV,4678
550,Acetaminophen,00121065721,PO,4675
551,Cephalexin,00143989701,PO/NG,4650
552,Nicotine Patch,00135019502,TD,4645
553,Neutra-Phos,60258000601,PO,4639
554,NORepinephrine,61553015311,IV DRIP,4624
555,Simethicone,37205011278,PO/NG,4598
556,CefTRIAXone,00409733503,IV,4589
557,Quetiapine Fumarate,00310027539,PO/NG,4583
558,Isosorbide Mononitrate (Extended Release),68084059101,PO,4582
559,Lidocaine 1%,00409427601,ID,4555
560,Labetalol,00185001001,PO/NG,4549
561,Metoprolol Tartrate,00904634161,PO/NG,4539
562,Sodium Chloride,00223176001,PO,4535
563,Potassium Chl 40 mEq / 1000 mL D5 1/2 NS,00338067504,IV,4526
564,TraMADol,51079099120,PO,4511
565,Fentanyl Citrate,10019003783,IV DRIP,4501
566,Famotidine,51079096620,PO,4482
567,Lansoprazole Oral Disintegrating Tab,64764054411,PO/NG,4481
568,Codeine Sulfate,00054815624,PO,4471
569,Albumin 5% (12.5g / 250mL),00944049101,IV,4456
570,Prochlorperazine,00641049125,IV,4456
571,TraZODone,00904655461,PO/NG,4450
572,Cepacol (Menthol),11509021265,PO,4420
573,Diltiazem,10019051002,IV,4417
574,OxyCODONE (Immediate Release),00904644461,PO,4417
