,drugname,routeadmin,count
125,2 ML VIAL : FENTANYL CITRATE 0.05 MG/ML IJ SOLN,Intravenous,5858
126,LORazepam 2 MG/1 ML 1 ML INJ,IV Push,5851
127,INSULIN LISPRO,SUBCUTAN,5819
128,ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,SC,5785
129,POTASSIUM CHLORIDE ER,ORAL,5763
130,OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,5741
131,ASPIRIN,PO,5730
132,ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION 2 ML VIAL,IV,5714
133,BISACODYL 10 MG RECT SUPP,PR,5713
134,FAMOTIDINE 20 MG TAB,PO,5617
135,WARFARIN,ORAL,5615
136,DUONEB 3 MG-0.5 MG/3 ML UD INH SOLN,SVN,5582
137,10 ML  -  INSULIN GLARGINE 100 UNIT/ML SC SOLN,SC,5580
138,50 ML  -  ALBUMIN HUMAN 25 % IV SOLN,IV,5578
139,KLOR-CON,Oral,5558
140,Tylenol,PO,5539
141,LANTUS,subCUT,5538
142,potassium chloride,IVPB,5512
143,TYLENOL,PO,5441
144,chlorHEXIDINE (PERIOGARD) 0.12 % oral rinse 15 mL,ORAL MUCOSA,5434
145,SODIUM CHLORIDE,IV,5411
146,VANCOCIN,IV,5391
147,50 ML FLEX CONT : MAGNESIUM SULFATE 4% IJ SOLN,IV,5373
148,1000 ML : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,IV,5361
149,4 ML VIAL : FUROSEMIDE 10 MG/ML IJ SOLN,Intravenous,5350
150,3 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,SC,5342
151,LOPRESSOR,Oral,5300
152,DEXTROSE 50% ABBOJECT,IV,5264
153,MIDAZOLAM HCL,.ROUTE,5260
154,hydrALAZINE 20 MG/1 ML 1 ML INJ,IV Push,5246
155,SODIUM CHLORIDE 0.9 % SYRINGE 10 ML SYRINGE,IV,5193
156,FUROSEMIDE 40 MG PO TABS,PO,5190
157,fentaNYL,DEVICE,5099
158,CHLORHEXIDINE GLUCONATE UD LIQ 15ML,Oral swab,5092
159,"HEPARIN 5,000 UNIT/ML",SUBCUTAN,5089
160,POTASSIUM CHLORIDE 40 MEQ/100 ML IV PIGGY BACK : 100 ML BAG,IV,5073
161,PEPCID,Oral,5062
162,INSULIN LISPRO 100 UNITS/ML SUBQ SOLN,SubQ,5044
163,PANTOPRAZOLE 40 MG EC TAB,PO,5042
164,ASPIRIN EC 81 MG PO TBEC,PO,5024
165,SODIUM CHLORIDE 0.9 % IV BOLUS,IV,4999
166,CALCIUM GLUCONATE 100 MG/ML IV SOLN,IV,4983
167,POTASSIUM CHLORIDE,ORAL,4981
168,Sodium Chloride 0.9%  SSO,IV,4965
169,50 ML SYRINGE : DEXTROSE 50 % IV SOLN,Intravenous,4954
170,POLYETHYLENE GLYCOL 3350 PO PACK,PO,4953
171,BUMINATE,IV,4951
172,ACETAMINOPHEN  325 MG ORAL TAB,Oral,4930
173,FUROSEMIDE 10 MG/1 ML 4ML SDV INJ,IV Push,4927
174,magnesium sulfate 1 g in d5w 100mL **LOCKED DOSE,IVPB,4923
175,MORPHINE 5 MG/ML INJECTION : 1 ML VIAL,IV,4922
176,Dilaudid,IV,4905
177,LEVAQUIN,IV,4817
178,2 ML: ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,4794
179,COLACE,Oral,4787
180,morphine,IV,4780
181,CLOPIDOGREL BISULFATE 75 MG PO TABS,PO,4760
182,SODIUM CHLORIDE 0.9 % IV : 500 ML,IV,4752
183,KCL 20 MEQ/50 ML,INTRAVENOU,4743
184,ENOXAPARIN,SUBCUTAN,4731
185,Ondansetron,IV,4708
186,"Sodium Chloride 0.9% 1,000 mL",IV,4679
187,PROPOFOL 10 MG/1 ML 100ML SDV INJ,IV,4647
188,ASPIRIN 325 MG PO TABS,PO,4587
189,PROTONIX,Oral,4576
190,POTASSIUM CHLORIDE,IV,4538
191,1000 ML  -  LACTATED RINGERS IV SOLN,IV,4526
192,SODIUM CHLORIDE 0.9%,INTRAVEN,4526
193,ONDANSETRON,INTRAVENOU,4494
194,HYDROMORPHONE (PF)  1 MG/ML INJ SYRINGE,IV,4491
195,WARFARIN SOD,PO,4489
196,WARFARIN SODIUM 5 MG PO TABS,PO,4436
197,LORAZEPAM 2 MG/ML IJ SOLN,IV,4426
198,50 ML FLEX CONT: MAGNESIUM SULFATE 40 MG/ML IJ SOLN,IV,4424
199,aspirin,PO,4403
200,FENTANYL CITRATE,.ROUTE,4360
201,HYDROmorphone 1 MG/1 ML SYR,IV Push,4358
202,OXYCODONE HCL 5 MG PO TABS,PO,4355
203,PROTONIX,IV,4339
204,piperacillin-tazobactam,MISC,4296
205,insulin lispro,Subcutaneous,4276
206,NovoLOG Flexpen,SUBQ,4275
207,METHYLPREDNISOLONE SODIUM SUCC 125 MG IJ SOLR,IV,4210
208,PANTOPRAZOLE,PO,4171
209,"PROVENTIL,VENTOLIN",Inhalation,4139
210,DOCUSATE SODIUM 100 MG PO CAPS,PO,4135
211,DIPRIVAN,IV,4121
212,ANCEF,IV,4110
213,sodium phosphate 3 mmol/mL 15 mL Inj,IVPB,4110
214,LACTATED RINGERS IV : 1000 ML BAG,IV,4086
215,INSULIN ASPART,SUBCUTAN,4076
216,Insulin Aspart,SUBCUT,4070
217,HEPARIN 5000 UNIT/ML 1ML INJ,SubQ,4063
218,nalOXone,Intravenous,4032
219,FUROSEMIDE,ORAL,4026
220,DEXTROSE 5% IN WATER (D5W) IV : 1000 ML BAG,IV,4022
221,acetaminophen,Oral,4021
222,INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,IV,4017
223,1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,IV,4001
224,ONDANSETRON (PF),IV,3992
225,ECOTRIN EC,Oral,3975
226,DOCUSATE SODIUM 100 MG PO CAPS,Oral,3973
227,250 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,IV,3962
228,potassium phosphate 3 mmol/mL15 mL Inj,IVPB,3960
229,SODIUM CHLORIDE 0.9 % IV SOLN BOLUS,Intravenous,3957
230,IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,Nebulization,3951
231,LISINOPRIL,ORAL,3947
232,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,Oral,3938
233,insulin aspart (NovoLOG) inj,SUBQ,3916
234,GlucaGen,IM,3903
235,30 ML CUP : ALUM & MAG HYDROXIDE-SIMETH 200-200-20 MG/5ML PO SUSP,PO,3895
236,albuterol-ipratropium (DUONEB) inhalation solution 3 mL,NEBULIZER,3892
237,DOCUSATE SODIUM 100 MG CAP,PO,3878
238,ALBUTEROL 2.5 MG/3 ML UD INH SOLN,SVN,3873
239,SOLU-MEDROL,IV,3870
240,2 ML VIAL: FUROSEMIDE 10 MG/ML IJ SOLN,IV,3848
241,ATORVASTATIN,ORAL,3820
242,VANCOmycin 1 GM in NS 250 mL IVPB,IVPB,3813
243,METOPROLOL TARTRATE,PO,3809
244,sodium chloride 0.9%,Intravenous,3800
245,MORPHINE,IV,3792
246,50 ML  -  POTASSIUM CHLORIDE 20 MEQ/50ML IV SOLN,IV,3788
247,1 ML VIAL: HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,SC,3788
248,PREDNISONE 20 MG PO TABS,PO,3777
249,ondansetron,IV,3768
250,FAMOTIDINE 20 MG PO TABS,PO,3758
251,"PANTOPRAZOLE 40 MG TABLET,DELAYED RELEASE",Oral,3758
252,DEXTROSE 5%-NACL 0.9%,INTRAVENOU,3751
253,acetaminophen (TYLENOL) tab 650 mg,PO,3749
254,PRINIVIL,Oral,3744
255,LACTATED RINGERS 1000 ML LVP,IV,3738
256,PANTOPRAZOLE SODIUM 40 MG IV SOLR,Intravenous,3724
257,ALBUTEROL CONCENTRATED 0.5%,INHALATION,3717
258,Sodium Chloride 0.9% FLUSH,DEVICE,3711
259,10 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,Subcutaneous,3710
260,20 ML  -  LIDOCAINE HCL 1 % IJ SOLN,SC,3697
261,sodium chloride infusion 0.9%,IV,3677
262,LOPRESSOR,IV,3672
263,BENADRYL,IV,3669
264,ALBUTEROL/IPRATROPIUM,NEB,3649
265,DEXTROSE 50 % IV SOLN,IV,3648
266,SODIUM CHLORIDE 0.9% P.F.,IV,3634
267,LIPITOR,Oral,3623
268,OXYCODONE   5 MG ORAL TAB,Oral,3591
269,HYDROMORPHONE HCL,IV,3586
270,NOREPINEPHRINE 8 MG in 250mL NS,IVPB,3566
271,REGLAN,IV,3565
272,AMIODARONE HCL 200 MG PO TABS,PO,3540
273,POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,Intravenous,3535
274,BISACODYL 10 MG RECT SUPP,Rect,3522
275,furosemide (LASIX) inj 40 mg,IV PUSH,3509
276,1 ML  -  DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,IV,3505
277,ASPIRIN (BABY ASA) 81 MG TAB,PO,3496
278,COREG,Oral,3484
279,10 ML CUP : MAGNESIUM HYDROXIDE 2400 MG/10ML PO SUSP,PO,3479
280,ZOLPIDEM TARTRATE 5 MG PO TABS,PO,3474
281,METOPROLOL TARTRATE 50 MG PO TABS,PO,3467
282,Ativan,IV,3463
283,DULCOLAX,Rectal,3459
284,COUMADIN,Oral,3458
285,CEFAZOLIN 2 GM IN NS 100 ML IVPB (REPACKAGE),IV,3454
286,CALCIUM GLUCONATE 1 GRAM/D5W 50ML,IVPB,3451
287,250 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,IV,3451
288,ONDANSETRON 4 MG PO TBDP,PO,3439
289,potassium chloride 20 mEq in 50 mL ivpb **LOCKED DOSE,CENTRAL IV,3432
290,PANTOPRAZOLE 40 MG INJ,IV Push,3430
291,SODIUM CHLORIDE 0.9% 500 ML LVP,IV,3428
292,INSULIN HUMALOG (PER UNIT),SUBCUTAN,3421
293,K PHOS MONO-SOD PHOS DI & MONO 155-852-130 MG PO TABS,PO,3420
294,ACETAMIN/HYDROCODON 325MG/5MG,PO,3419
295,10 ML VIAL: INSULIN ASPART 100 UNIT/ML SC SOLN,SC,3417
296,10 ML  -  CALCIUM GLUCONATE 10 % IV SOLN,IV,3406
297,Midazolam,DEVICE,3401
298,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL PWPK,Oral,3398
299,2 ML  -  METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,IV,3394
300,1 ML VIAL : LORAZEPAM 2 MG/ML IJ SOLN,Intravenous,3389
301,ATROVENT,INH,3387
302,Coumadin,PO,3368
303,ondansetron,IntraVENOUS,3365
304,GLUCOSE,ORAL,3355
305,4 ML : FUROSEMIDE 10 MG/ML IJ SOLN,IV,3353
306,MIDAZOLAM,DEVICE,3346
307,2 ML  -  FAMOTIDINE 10 MG/ML IV SOLN,IV,3345
308,meTOPROLOL tartrate,ORAL,3332
309,"HEPARIN, PORCINE (PF) 5000 UNIT/0.5 ML INJ SYRINGE",SubQ,3330
310,GLUCAGON,SUBCUTAN,3324
311,APRESOLINE,IV,3322
312,37.5 G TUBE : DEXTROSE (DIABETIC USE) 40 % PO GEL,Oral,3303
313,PANTOPRAZOLE,ORAL,3300
314,LISINOPRIL,PO,3293
315,BISACODYL 10 MG RE SUPP,Rectal,3292
316,ondansetron (ZOFRAN) inj 4 mg,IV PUSH,3290
317,PERCOCET,Oral,3288
318,"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION : 1 ML VIAL",subCUT,3286
319,2 ml vial : ondansetron hcl 4 mg/2ml ij soln,IV,3284
320,fentaNYL citrate (PF),ZPYXVEND,3276
321,"NS 1,000 mL",IV,3266
322,2 ML VIAL : MIDAZOLAM HCL 2 MG/2ML IJ SOLN,IV,3265
323,SODIUM CHLORIDE,.ROUTE,3259
324,LORazepam 2 MG/1 ML 1 ML SYR,IV Push,3249
325,DEXTROSE 50 % IN WATER (D50W) IV SYRINGE,IV,3246
326,0.5 ML PLAS CONT : ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,Nebulization,3241
327,LEVOFLOXACIN IN D5W 750 MG/150ML IV SOLN,IV,3239
328,POTASSIUM CHLORIDE  20 MEQ ORAL SR PART/TAB,Oral,3239
329,1 ML  -  HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,SC,3238
330,FAMOTIDINE,ORAL,3234
331,100 ML BAG : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,IV,3223
332,AMLODIPINE BESYLATE 5 MG PO TABS,PO,3211
333,METOPROLOL,ORAL,3198
334,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,Oral,3197
335,1 ML CRTRDG-NDL : MORPHINE SULFATE (PF) 2 MG/ML IV SOLN,IV,3182
336,ZOSYN 3.375 GRAM in NS 100 mL IVPB,IVPB,3174
337,VANCOMYCIN HCL 1000 MG IV SOLR,Intravenous,3163
338,2 ML: FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,3163
339,1 ML VIAL: LORAZEPAM 2 MG/ML IJ SOLN,IV,3162
340,CLONIDINE HCL 0.1 MG PO TABS,PO,3148
341,POTASSIUM CHLORIDE,GASTRIC TU,3147
342,"HEPARIN 25,000 unit(s) in D5W 25",IV,3142
343,DEXAMETHASONE 4 MG/1ML INJECTION,IV,3138
344,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) IV SOLN",IV,3136
345,INSULIN (REGULAR) 100 UNITS in 1,IV,3130
346,NaCl 0.9%,MISC,3121
347,methylPREDNISolone 40 MG INJ,IV,3118
348,acetaminophen,PO,3116
349,morphine,INTRAVENOU,3115
350,DOCUSATE SODIUM 250 MG ORAL CAP,Oral,3112
351,SENNOSIDES,ORAL,3102
352,hydrALAZINE,IV,3102
353,MAGNESIUM SULFATE 50 % (4 MEQ/ML) INJ,IV,3102
354,potassium chloride,IntraVENOUS,3097
355,ATORVASTATIN CALCIUM 40 MG PO TABS,PO,3094
356,METOPROLOL 1 MG/ML 5ML SDV INJ,IV Push,3093
357,PANTOPRAZOLE SOD,IV,3093
358,FUROSEMIDE 20 MG PO TABS,PO,3088
359,PROTONIX,PO,3066
360,MILK OF MAGNESIA UD LIQ 30 ML,PO,3064
361,LIDOCAINE HCL 1 % INJ SOLN,Intradermal,3061
362,10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,IV,3050
363,ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,NEBULIZATION,3032
364,10 ML VIAL: INSULIN GLARGINE 100 UNIT/ML SC SOLN,SC,3029
365,FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,3025
366,oxyCODONE 5 MG TAB,PO,3014
367,POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,IV,3009
368,FUROSEMIDE 10 MG/ML IJ SOLN,IV,3008
369,ALBUMIN 25% 100 ML INJ,IVPB,2986
370,ATORVASTATIN,PO,2985
371,GLUCAGON,IM,2980
372,VANCOMYCIN HCL 1 GM VIAL,IV,2980
373,4 ML VIAL: FUROSEMIDE 10 MG/ML IJ SOLN,IV,2974
374,FUROSEMIDE,PO,2973
375,VANCOMYCIN HCL 10 G IV SOLR,IV,2970
376,BISACODYL,RECTAL,2961
377,Magnesium Sulfate ivpb,IVPB,2957
378,DIPHENHYDRAMINE HCL 25 MG PO CAPS,PO,2956
379,"hEParin inj 5,000 Units",SUBQ,2939
380,cefTRIAXone,MISC,2932
381,Colace,PO,2929
382,albuterol sulfate (PROVENTIL) (2.5 MG/3ML) 0.083% inhalation solution 2.5 mg,NEBULIZER,2921
383,LORazepam,INTRAVENOU,2918
384,ondansetron,Intravenous,2906
385,50 ML SYRINGE: DEXTROSE 50 % IV SOLN,IV,2905
386,NALOXONE 0.4 MG/ML INJ SOLN,IV,2903
387,DEXMEDETOMIDINE 200 MCG in 50 mL NS,IV,2885
388,LASIX,Oral,2880
389,250 ML  -  ALBUMIN HUMAN 5 % IV SOLN,IV,2873
390,ONDANSETRON 4 MG PO TAB-DISPERSE,Oral,2869
391,SODIUM CHLORIDE BACTERIOSTATIC 0.9 % INJ SOLN,Intradermal,2869
392,METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR,IV,2865
393,5 G  -  LIDOCAINE-PRILOCAINE 2.5-2.5 % EX CREA,TP,2865
394,LIDOCAINE-TRANSPARENT DRESSING 4 % EXTERNAL KIT,Topical,2859
395,20 ML  -  LABETALOL HCL 5 MG/ML IV SOLN,IV,2857
396,INSULIN LISPRO (HUMAN) 100 UNIT/ML SUBCU SOLN EXTEMP INJ,Subcutaneous,2847
397,METOPROLOL TARTRATE,INTRAVENOU,2847
398,SODIUM CHLORIDE 0.9% 500 ML PB,IV,2835
399,100 ml flex cont : magnesium sulfate in d5w 10-5 mg/ml-% iv soln,IV,2830
400,HYDROcodone-acetaminophen,Oral,2823
401,TRAMADOL HCL 50 MG PO TABS,PO,2810
402,ATROPINE 0.1 MG/ML INJ SYRINGE,IV,2807
403,Dextrose 5% SSO,IV,2806
404,TYLENOL,Rectal,2793
405,ACETAMINOPHEN,RECTAL,2793
406,ASPIRIN 81 MG PO CHEW,Oral,2786
407,1000 ML  -  DEXTROSE-NACL 5-0.45 % IV SOLN,IV,2782
408,CLOPIDOGREL 75 MG TAB,PO,2781
409,LOVENOX,SUBQ,2777
410,ALBUMIN 5% 250 ML INJ,IV,2773
411,ALBUTEROL 90 MCG,INHALATION,2773
412,MAGNESIUM SULFATE 2 GRAM/50 ML IV PIGGY BACK 50 ML FLEX CONT,IV,2768
413,MAGNESIUM SULFATE 50 % IJ SOLN,IV,2767
414,METHYLPREDNISOLONE SOD SUCC,IV,2764
415,sodium chloride 0.9 % flush peripheral lok 3 mL,IV PUSH,2751
416,INSULIN GLARGINE SYRINGE,SubQ,2749
417,GLUCOSE 40% GEL,ORAL,2749
418,GLUCAGON (HUMAN RECOMBINANT),SC,2741
419,POTASSIUM SODIUM PHOSPHATE PWDPKT,PO,2733
420,INSULIN HUMAN REGULAR,SC,2732
421,10 ml vial : insulin aspart 100 unit/ml sc soln,SC,2731
422,MORPHINE SULFATE 2 MG/ML IJ SOLN,IV,2730
423,LACTULOSE 20 GRAM/30 ML UD LIQ,PO,2726
424,DuoNeb,NEB,2726
425,VANCOMYCIN,IV,2719
426,1 ML CRTRDG-NDL : MORPHINE SULFATE 2 MG/ML IJ SOLN,Intravenous,2707
427,"RINGERS SOLUTION,LACTATED",INTRAVENOU,2704
428,NaCl 0.9% ADV,MISC,2697
429,Protonix,PO,2689
430,XANAX,Oral,2688
431,SODium PHOSphate 15 MMOL/100ML NS,IVPB,2680
432,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PIGGY BACK : 100 ML,IV,2678
433,CALCIUM GLUCONATE 2 G/50 ML NS,INTRAVENOU,2676
434,DIAZEPAM,ORAL,2674
435,zolpiDEM 5 MG TAB,PO,2670
436,DEXT 5%-NACL 0.45% 1000 ML LVP,IV,2668
437,fentaNYL,MISC,2668
438,Sodium Chloride 0.9%,IV,2655
439,MIDAZOLAM 1 MG/ML INJ SOLN,IV,2653
440,fentaNYL inj 50 mcg,IV PUSH,2648
441,FENTANYL STANDARD INFUSION 10 MCG/ML PREMIX,IV,2642
442,5 ML SYRINGE : HEPARIN SODIUM LOCK FLUSH 10 UNIT/ML IV SOLN,IK,2639
443,LORazepam 0.5 MG TAB,PO,2636
444,potassium chloride ivpb,IVPB,2633
445,SODIUM BICARBONATE 8.4% 50 ML INJ,IV,2633
446,ALBUTEROL SULFATE 2.5 MG INHL NEB SOLN,Inhl,2623
447,ACETAMINOPHEN 650 MG RE SUPP,Rectal,2617
448,AMLODIPINE BESYLATE 10 MG PO TABS,PO,2604
449,1 ML  -  NALOXONE HCL 0.4 MG/ML IJ SOLN,IV,2596
450,ASPIRIN 81 MG EC TAB,PO,2585
451,dexmedetomidine,MISC,2585
452,LORAZEPAM,PO,2583
453,Albuterol-Ipratropium (DUONEB) nebulizer solution 3 mL,IN,2582
454,potassium chloride,Intravenous,2576
455,2 ML  -  PROCHLORPERAZINE EDISYLATE 5 MG/ML IJ SOLN,IV,2571
