,diagnosisstring,icd9code
57,surgery|obstetrics|HELLP syndrome,"642.50, O14.20"
58,surgery|renal issues|hyperkalemia,"276.7, E87.5"
59,surgery|renal issues|hyponatremia,"276.1, E87.1"
60,burns/trauma|burns|burn of trachea,947.1
61,burns/trauma|trauma - CNS|seizures,"345.90, R56.9"
62,cardiovascular|arrhythmias|syncope,"780.2, R55"
63,endocrine|thyroid|thyroid disorder,
64,neurologic|seizures|seizures|focal,"345.50, G40.1"
65,pulmonary|respiratory failure|ARDS,"518.81, J80"
66,pulmonary|trauma|chest wall trauma,959.11
67,pulmonary|trauma|lung trauma|right,"861.20, S27.30"
68,pulmonary|trauma|pneumomediastinum,"518.1, J98.2"
69,renal|fluid imbalance|hypervolemia,"276.6, E87.70"
70,surgery|cardiac surgery|arrhythmia,
71,surgery|cardiac surgery|hemorrhage,"998.11, T88"
72,surgery|infections|wound infection,
73,surgery|thoracic surgery|hypoxemia,"799.02, J96.91"
74,burns/trauma|dermatology|cellulitis,"682.9, L03.90"
75,cardiovascular|arrhythmias|AV block,"426.10, I44.30"
76,neurologic|misc|Parkinson's disease,"332.0, G20"
77,oncology|GI tumors|colon CA|sigmoid,"153.3, C18.7"
78,oncology|GI tumors|pancreatic tumor,
79,pulmonary|pleural disorders|empyema,"510.9, J86.9"
80,pulmonary|pulmonary infections|SARS,"480.8, J12.89"
81,renal|fluid imbalance|third spacing,"276.9, E87.8"
82,surgery|cardiac surgery|atelectasis,"518.0, J98.11"
83,surgery|infections|abscess of wound,998.59
84,surgery|infections|cellulitis|chest,"682.2, L03.90"
85,surgery|obstetrics|vaginal delivery,
86,surgery|thoracic surgery|hemorrhage,"998.11, R58"
87,surgery|vascular surgery|hemorrhage,998.11
88,cardiovascular|infection|myocarditis,"422.90, I40.9"
89,gastrointestinal|trauma|bowel trauma,S36.50
90,gastrointestinal|trauma|renal trauma,"866.00, S37.00"
91,hematology|coagulation disorders|DVT,"451.9, I80.9"
92,hematology|coagulation disorders|TTP,"446.6, M31.1"
93,renal|post GU surgery|s/p cystectomy,
94,surgery|obstetrics|caesarian section,
95,surgery|other surgery|s/p mastectomy,
96,surgery|thoracic surgery|atelectasis,"518.0, J98.11"
97,burns/trauma|trauma - skeletal|sprain,
98,cardiovascular|vascular disorders|DVT,
99,oncology|GI tumors|cholangiocarcinoma,"156.9, C24.9"
100,pulmonary|trauma|pneumothorax|tension,860.0
101,renal|post GU surgery|s/p nephrectomy,
102,surgery|neurosurgical issues|seizures,"345.90, R56.9"
103,surgery|obstetrics|vaginal hemorrhage,
104,surgery|respiratory failure|hypoxemia,"799.02, J96.91"
105,surgery|thoracic surgery|pneumothorax,"512.1, J95.81"
106,burns/trauma|dermatology|pressure sore,"707.00, L89.90"
107,cardiovascular|arrhythmias|bradycardia,
108,cardiovascular|infection|mediastinitis,"519.2, J98.5"
109,cardiovascular|valvular disease|myxoma,"212.7, D15.1"
110,gastrointestinal|trauma|bladder trauma,"867.0, S37.2"
111,gastrointestinal|trauma|hepatic trauma,"864.00, S36.11"
112,gastrointestinal|trauma|splenic trauma,"865.00, S36.0"
113,neurologic|misc|decompression syndrome,
114,neurologic|misc|headache|hydrocephalus,"R51, G91.9"
115,neurologic|seizures|seizures|new onset,R56.9
116,neurologic|seizures|seizures|petit mal,"345.00, G40.3"
117,neurologic|seizures|seizures|suspected,
118,oncology|CNS tumors|spinal cord tumors,"192.9, C72.0"
119,oncology|GU tumors|female genetalia CA,
120,oncology|chest tumors|breast CA|female,"174.9, C50.919"
121,pulmonary|disorders of vasculature|DVT,"451.9, I80.9"
122,pulmonary|pleural disorders|hemothorax,
123,pulmonary|pulmonary infections|empyema,"510.9, J86.9"
124,burns/trauma|trauma - chest|lung trauma,"861.20, S27.30"
125,cardiovascular|cardiac surgery|s/p LVAD,
126,cardiovascular|cardiac surgery|s/p RVAD,
127,endocrine|fluids and electrolytes|SIADH,"253.6, E22.2"
128,neurologic|CNS mass lesions|brain tumor,"191.9, C71.9"
129,neurologic|disorders of vasculature|TIA,"435.9, G45.9"
130,neurologic|misc|neurocutaneous syndrome,
131,neurologic|misc|neuropathy|polyneuritis,"357.89, G61.89"
132,neurologic|seizures|seizures|from tumor,"345.90, R56.9"
133,oncology|chest tumors|mediastinal tumor,
134,pulmonary|disorders of the airways|COPD,"491.20, J44.9"
135,pulmonary|respiratory failure|hypoxemia,"799.02, J96.91"
136,renal|electrolyte imbalance|hypokalemia,"276.8, E87.6"
137,renal|post GU surgery|s/p prostatectomy,
138,surgery|eye surgery|s/p corneal surgery,
139,surgery|eye surgery|s/p vitreal surgery,
140,surgery|infections|cellulitis|extremity,"682.9, L03.90"
141,surgery|other surgery|s/p breast biopsy,
142,surgery|renal issues|anuria|suspect ATN,
143,surgery|renal issues|metabolic acidosis,"276.2, E87.2"
144,surgery|respiratory failure|hypercarbia,"786.09, J96.92"
145,burns/trauma|trauma - chest|pneumothorax,860.0
146,cardiovascular|cardiac surgery|s/p BIVAD,
147,endocrine|thyroid|hypothyroidism|primary,"244.9, E03.9"
148,gastrointestinal|metabolic disorder|gout,
149,neurologic|CNS mass lesions|spinal tumor,"192.2, C72.0"
150,neurologic|seizures|seizures|generalized,"345.10, R56.9"
151,oncology|GU tumors|ovarian CA|left ovary,"183.0, C56.9"
152,oncology|chest tumors|metastatic lung CA,"197.0, C78.00"
153,oncology|head and neck tumors|neck tumor,
154,oncology|head and neck tumors|nose tumor,
155,oncology|hematologic malignancy|leukemia,
156,pulmonary|pleural disorders|pneumothorax,
157,pulmonary|pulmonary infections|pneumonia,"486, J18.9"
158,renal|electrolyte imbalance|hyperkalemia,"276.7, E87.5"
159,renal|electrolyte imbalance|hypocalcemia,"275.41, E83.51"
160,renal|electrolyte imbalance|hyponatremia,"276.1, E87.0, E87.1"
161,surgery|cardiac surgery|pleural effusion,"511.9, J91.8"
162,surgery|eye surgery|repair of eye trauma,
163,surgery|infections|necrotizing fasciitis,"728.86, M72.6"
164,surgery|neurosurgical issues|brain edema,"348.5, G93.6"
165,surgery|renal issues|acute renal failure,"584.9, N17.9"
166,burns/trauma|burns|burn of eye and adnexa,
167,burns/trauma|burns|burn of hand and wrist,
168,burns/trauma|burns|burn of head/face/neck,
169,"burns/trauma|dermatology|rash, infectious","686.9, L08.9"
170,burns/trauma|trauma - chest|airway trauma,
171,cardiovascular|arrhythmias|SVT|junctional,"427.0, I47.1"
172,cardiovascular|arrhythmias|SVT|re-entrant,"427.0, I47.1"
173,cardiovascular|arrhythmias|atrial flutter,"427.32, I48.1"
174,cardiovascular|shock / hypotension|sepsis,"038.9, A41.9"
175,endocrine|diagnostic studies|CT scan|head,
176,endocrine|glucose metabolism|hypoglycemia,"251.1, E16.2"
177,endocrine|thyroid|sick euthyroid syndrome,"790.94, E07.81"
178,gastrointestinal|trauma|pancreatic trauma,"863.84, S36.20"
179,general|congenital anomalies|spina bifida,
180,hematology|oncology and leukemia|leukemia,
181,neurologic|CNS mass lesions|brain abscess,"324.0, G06.0"
182,neurologic|misc|neuropathy|polyneuropathy,"357.9, G62.9"
183,neurologic|trauma - CNS|fracture of skull,
184,oncology|GI tumors|intestinal CA|lymphoma,"152.9, C17.9"
185,oncology|GU tumors|ovarian CA|right ovary,"183.0, C56.9"
186,oncology|chest tumors|primary lung cancer,"162.9, C34.90"
187,pulmonary|respiratory failure|hypercarbia,"786.09, J96.92"
188,renal|electrolyte imbalance|hypercalcemia,"275.42, E83.52"
189,renal|electrolyte imbalance|hypernatremia,"276.0, E87.0"
190,renal|electrolyte imbalance|hypochloremia,"276.9, E87.8"
191,surgery|acute cardiac problems|chest pain,"786.50, R07.9"
192,surgery|altered mental status / pain|pain,
193,surgery|other surgery|s/p thyroid surgery,
194,surgery|renal issues|oliguria|hypovolemia,"788.5, R34"
195,surgery|renal issues|respiratory acidosis,"276.2, E87.2"
196,toxicology|drug overdose|cocaine overdose,"968.5, E980.4, T40.5"
197,toxicology|drug overdose|ethanol overdose,"980.0, E980.2, T51.0"
198,burns/trauma|trauma - abdomen|bowel trauma,"863.89, S36.50"
199,burns/trauma|trauma - abdomen|renal trauma,866.00
200,burns/trauma|trauma - skeletal|dislocation,
201,endocrine|glucose metabolism|hyperglycemia,"790.6, R73.9"
202,endocrine|thyroid|hypothyroidism|pituitary,"244.8, E03.8"
203,endocrine|thyroid|hypothyroidism|suspected,
204,gastrointestinal|abdominal/ general|hernia,
205,gastrointestinal|abdominal/ general|nausea,"787.02, R11.0"
206,general|immunological diseases|amyloidosis,"277.3, E85.9"
207,general|immunological diseases|sarcoidosis,"135, D86.9"
208,genitourinary|female disease|endometriosis,
209,neurologic|disorders of vasculature|stroke,"436, I67.8"
210,neurologic|seizures|seizures|focal/partial,"345.50, G40.1"
211,neurologic|seizures|seizures|non-epileptic,"345.00, R56.9"
212,neurologic|trauma - CNS|spinal cord injury,
213,oncology|CNS tumors|brain tumor|meningioma,"191.9, C71.9"
214,oncology|GI tumors|colon CA|left hemicolon,"153.2, C18.6"
215,oncology|GI tumors|intra-abdominal sarcoma,"171.9, C49.9"
216,pulmonary|pleural disorders|empyema|fungal,"510.9, 117.9, J86.9"
217,pulmonary|trauma|diaphragmatic injury|left,"862.0, S27.80"
218,renal|electrolyte imbalance|hyperchloremia,"276.9, E87.8"
219,renal|electrolyte imbalance|hypomagnesemia,"275.2, E83.42"
220,surgery|acute cardiac problems|bradycardia,
221,surgery|infections|intra-abdominal abscess,"567.22, K65.1"
222,surgery|obstetrics|amniotic fluid embolism,"673.10, O88.119"
223,surgery|obstetrics|hemorrhage - postpartum,
224,surgery|orthopedic surgery|s/p hip surgery,
225,toxicology|drug overdose|narcotic overdose,"E980.2, 965.00, T40.60"
226,burns/trauma|burns|third degree burn injury,946.3
227,burns/trauma|trauma - CNS|fracture of skull,
228,burns/trauma|trauma - systemic effects|ARDS,J80
229,cardiovascular|cardiac surgery|CABG < 7days,
230,cardiovascular|chest pain / ASHD|chest pain,"786.50, R07.9"
231,endocrine|thyroid|hyperthyroidism|suspected,
232,gastrointestinal|abdominal/ general|ascites,"789.5, R18.8"
233,gastrointestinal|abdominal/ general|obesity,"278.00, E66.9"
234,gastrointestinal|trauma|mesenteric ischemia,"557.0, K55.0"
235,general|immunological diseases|polymyositis,"710.4, M33.20"
236,infectious diseases|GI infections|enteritis,
237,neurologic|neuromuscular disorders|myopathy,"359.89, G72.9"
238,neurologic|seizures|seizures|from infection,"345.90, R56.9"
239,neurologic|seizures|seizures|non-convulsive,"345.00, R56.9"
240,neurologic|trauma - CNS|intracranial injury,"854.00, S06.9"
241,oncology|GI tumors|abdominal carcinomatosis,"197.6, C78.6"
242,oncology|GI tumors|colon CA|right hemicolon,"153.0, C18.3"
243,pulmonary|pleural disorders|hemothorax|open,"860.3, J94.2"
244,pulmonary|pulmonary infections|lung abscess,"513.0, J85.2"
245,pulmonary|trauma|diaphragmatic injury|right,"862.0, S27.80"
246,renal|electrolyte imbalance|hypermagnesemia,"275.2, E83.41"
247,surgery|acute cardiac problems|hypertension,"401.9, I10"
248,surgery|cardiac surgery|sternotomy problems,
249,surgery|neurosurgical issues|brain ischemia,"997.09, I97.89"
250,surgery|neurosurgical issues|seizures|focal,"345.50, G40.1"
251,surgery|obstetrics|pre-eclampsia/ eclampsia,
252,surgery|orthopedic surgery|s/p knee surgery,
253,toxicology|drug overdose|tricyclic overdose,"E980.3, 969.0, T43.01"
254,burns/trauma|trauma - CNS|spinal cord injury,
255,burns/trauma|trauma - abdomen|adrenal trauma,"868.01, S37.81"
256,burns/trauma|trauma - abdomen|bladder trauma,"867.0, S37.2"
257,burns/trauma|trauma - abdomen|hepatic trauma,"864.00, S36.11"
258,burns/trauma|trauma - abdomen|splenic trauma,"865.00, S36.0"
259,burns/trauma|trauma - chest|lung trauma|left,"861.20, S27.30"
260,burns/trauma|trauma-other injuries|contusion,
261,cardiovascular|arrhythmias|bradycardia|sinus,"427.81, R00.1"
262,cardiovascular|arrhythmias|sinus tachycardia,"785.0, R00.0"
263,cardiovascular|cardiac arrest|cardiac arrest,"427.5, I46.9"
264,cardiovascular|cardiac surgery|mediastinitis,"519.2, J98.5"
265,cardiovascular|vascular disorders|vasculitis,
266,endocrine|diagnostic studies|CT scan|abdomen,
267,endocrine|endocrine tumors|thyroid carcinoma,"193, C73"
268,gastrointestinal|abdominal/ general|vomiting,"787.03, R11.10"
269,gastrointestinal|biliary disease|cholangitis,"576.1, K83.0"
270,gastrointestinal|intestinal disease|diarrhea,"787.91, R19.7"
271,gastrointestinal|post-GI surgery|s/p Whipple,
272,hematology|platelet disorders|thrombocytosis,"289.9, D47.3"
273,neurologic|altered mental status / pain|coma,"780.01, R40.20"
274,neurologic|altered mental status / pain|pain,
275,neurologic|post-neurosurgery|post craniotomy,
276,neurologic|seizures|seizures|partial complex,"345.40, G40.2"
277,oncology|CNS tumors|brain tumor|CNS lymphoma,"202.81, C85.81"
278,oncology|GI tumors|colon CA|transverse colon,"153.1, C18.4"
279,oncology|GU tumors|renal cell CA|left kidney,"189.0, C64.9"
280,oncology|GU tumors|uterine CA|adenocarcinoma,"179, C55"
281,pulmonary|disorders of the airways|emphysema,
282,pulmonary|disorders of the airways|epistaxis,"784.7, R04.0"
283,pulmonary|disorders of the airways|hypoxemia,"799.02, R09.02"
284,pulmonary|pleural disorders|pleural effusion,"511.9, J91.8"
285,renal|disorder of kidney|acute renal failure,"584.9, N17.9"
286,renal|electrolyte imbalance|hypophosphatemia,"275.3, E83.30"
287,surgery|altered mental status / pain|sedated,
288,surgery|cardiac surgery|pericardial problems,"423.9, I31.9"
289,surgery|infections|cellulitis|abdomen/pelvis,"682.2, L03.90"
290,surgery|other surgery|s/p mastectomy|radical,
291,"burns/trauma|dermatology|rash, non-infectious","692.9, L30.9"
292,burns/trauma|trauma - CNS|intracranial injury,"854.00, S06.9"
293,burns/trauma|trauma - abdomen|ureteral trauma,867.2
294,burns/trauma|trauma - chest|chest wall trauma,807.4
295,burns/trauma|trauma - chest|lung trauma|right,"861.20, S27.30"
296,burns/trauma|trauma - chest|pneumomediastinum,"518.1, J98.2"
297,burns/trauma|trauma - skeletal|rhabdomyolysis,728.89
298,burns/trauma|trauma- head and neck|eye injury,"870.9, S05"
299,burns/trauma|trauma-other injuries|open wound,
300,cardiovascular|arrhythmias|digitalis toxicity,"972.1, T46.0"
301,cardiovascular|cardiac surgery|s/p sternotomy,
302,endocrine|fluids and electrolytes|hypokalemia,"276.8, E87.8"
303,endocrine|thyroid|hyperthyroidism|thyroiditis,"245.9, E06.2"
304,endocrine|thyroid|hypothyroidism|hypothalamic,"244.8, E03.8"
305,gastrointestinal|abdominal/ general|dysphagia,"787.2, R13.10"
306,gastrointestinal|hepatic disease|hepatic coma,"572.2, K72.91"
307,gastrointestinal|intestinal disease|enteritis,
308,general|quality measures|LV function assessed,
309,hematology|coagulation disorders|DIC syndrome,"286.6, D65"
310,hematology|coagulation disorders|coagulopathy,"286.9, D68.9"
311,infectious diseases|CNS infections|meningitis,
312,infectious diseases|GI infections|cholangitis,"576.1, K83.0"
313,infectious diseases|GI infections|peritonitis,"567.21, K65.0"
314,neurologic|neuromuscular disorders|neuropathy,
315,neurologic|post-neurosurgery|post craniectomy,
316,neurologic|seizures|seizures|etiology unknown,"345.90, G40.9"
317,oncology|GI tumors|liver CA|hepatocellular CA,"155.0, C22.0"
318,oncology|GU tumors|renal cell CA|right kidney,"189.0, C64.9"
319,oncology|head and neck tumors|eye tumor|right,"190.9, C69.90"
320,pulmonary|disorders of the airways|bronchitis,
321,pulmonary|pleural disorders|empyema|bacterial,"510.9, J86.9"
322,pulmonary|pleural disorders|hemothorax|closed,"860.2, J94.2"
323,pulmonary|pulmonary infections|bronchiectasis,"494.1, J47.1"
324,pulmonary|pulmonary infections|empyema|fungal,"117.9, 510.9, J86.9"
325,pulmonary|respiratory failure|failure to wean,
326,renal|disorder of kidney|transplant rejection,"996.81, T86.11"
327,renal|electrolyte imbalance|hyperphosphatemia,"275.3, E83.30"
328,renal|post GU surgery|s/p pelvic exenteration,
329,surgery|altered mental status / pain|delirium,"293.0, F05"
330,surgery|altered mental status / pain|dementia,"294.8, F03"
331,surgery|cardiac surgery|myocardial infarction,"410.90, I21.3"
332,surgery|head and neck surgery|s/p ear surgery,
333,surgery|other surgery|s/p parathyroid surgery,
334,surgery|thoracic surgery|tension pneumothorax,"512.1, J95.81"
335,toxicology|drug overdose|barbiturate overdose,"E980.1, 967.0, T42.3X"
336,toxicology|drug withdrawal|alcohol withdrawal,"291.81, F10.239"
337,burns/trauma|dermatology|pressure sore|stage 1,"707.00, L89.891"
338,burns/trauma|dermatology|pressure sore|stage 2,"707.00, L89.892"
339,burns/trauma|dermatology|pressure sore|stage 3,"707.00, L89.893"
340,burns/trauma|dermatology|pressure sore|stage 4,"707.00, L89.894"
341,burns/trauma|trauma - skeletal|dislocation|hip,S73.00
342,burns/trauma|trauma - skeletal|dislocation|jaw,
343,burns/trauma|trauma- head and neck|oral injury,"873.70, S01.50"
344,cardiovascular|arrhythmias|atrial fibrillation,"427.31, I48.0"
345,cardiovascular|shock / hypotension|dehydration,"276.51, E86.0"
346,cardiovascular|shock / hypotension|hypotension,"458.9, I95.9"
347,cardiovascular|shock / hypotension|hypovolemia,"276.52, E86.1"
348,cardiovascular|vascular disorders|hypertension,"401.9, I10"
349,endocrine|adrenal disorders|Cushing's syndrome,"255.0, E24.9"
350,endocrine|adrenal disorders|hyperaldosteronism,"255.10, E26.9"
351,endocrine|fluids and electrolytes|hyperkalemia,"276.7, E87.5"
352,endocrine|fluids and electrolytes|hypocalcemia,"275.41, E83.51"
353,endocrine|fluids and electrolytes|hyponatremia,"276.1, E87.1"
354,endocrine|glucose metabolism|diabetes mellitus,
355,gastrointestinal|GI bleeding / PUD|GI bleeding,"578.9, K92.2"
356,gastrointestinal|biliary disease|cholecystitis,
357,gastrointestinal|trauma|blunt abdominal trauma,"863.80, S36.9"
358,general|immunological diseases|dermatomyositis,"710.3, M33.90"
359,hematology|platelet disorders|thrombocytopenia,"287.5, D69.6"
360,infectious diseases|GI infections|appendicitis,"541, K35.80"
361,neurologic|altered mental status / pain|stupor,"780.09, R40.1"
362,neurologic|misc|neuroleptic malignant syndrome,"333.92, G21.0"
363,neurologic|trauma - CNS|fracture of skull|base,S02.1
364,oncology|GI tumors|gastric CA|gastric lymphoma,"151.9, C16.9"
365,pulmonary|disorders of the airways|COPD|severe,"491.20, J44.9"
366,renal|disorder of acid base|metabolic acidosis,"276.2, E87.2"
367,surgery|altered mental status / pain|agitation,"308.2, F43.0"
368,surgery|altered mental status / pain|pain|mild,
369,surgery|cardiac surgery|arrhythmia|heart block,"426.10, I44.30"
370,surgery|cardiac surgery|pleural effusion|right,"511.9, J91.8"
371,surgery|gynecological surgery|s/p hysterectomy,
372,surgery|infections|mediastinitis|post surgical,"519.2, J98.5"
373,surgery|infections|necrotizing fasciitis|chest,"728.86, M72.6"
374,surgery|renal issues|metabolic acidosis|severe,"276.2, E87.2"
375,surgery|respiratory failure|respiratory arrest,"799.1, R09.2"
376,toxicology|drug overdose|beta blocker overdose,"969.4, E980.2, T44.7X"
377,burns/trauma|trauma - abdomen|mesenteric trauma,"863.89, S36.9"
378,burns/trauma|trauma - abdomen|pancreatic trauma,"863.84, S36.20"
379,burns/trauma|trauma - chest|widened mediastinum,
380,burns/trauma|trauma - skeletal|bone fracture(s),
381,burns/trauma|trauma - skeletal|dislocation|foot,
382,cardiovascular|arrhythmias|AV block|symptomatic,"426.10, I44.30"
383,cardiovascular|cardiac surgery|unstable sternum,
384,cardiovascular|chest pain / ASHD|hyperlipidemia,"272.4, E78.5"
385,cardiovascular|shock / hypotension|septic shock,"785.52, R65.21"
386,endocrine|fluids and electrolytes|hypercalcemia,"275.42, E83.52"
387,endocrine|fluids and electrolytes|hypernatremia,"276.0, E87.0"
388,endocrine|fluids and electrolytes|hypochloremia,"276.9, E87.8"
389,gastrointestinal|abdominal/ general|peritonitis,"567.9, K65.0"
390,gastrointestinal|esophageal disease|esophagitis,"530.10, K20.9"
391,general|immunological diseases|other vasculitis,"447.6, I77.6"
392,general|quality measures|stroke education given,
393,hematology|oncology and leukemia|carcinomatosis,"199.0, C80.0"
394,infectious diseases|CNS infections|encephalitis,
395,infectious diseases|GI infections|cholecystitis,
396,infectious diseases|GU infections|psoas abscess,"567.22, K68.12"
397,neurologic|altered mental status / pain|anxiety,"300.00, F41.9"
398,neurologic|altered mental status / pain|sedated,
399,neurologic|seizures|seizures|from drug toxicity,"345.90, R56.9"
400,neurologic|seizures|seizures|status epilepticus,"345.3, G40.901"
401,neurologic|trauma - CNS|fracture of skull|vault,S02
402,oncology|GI tumors|intestinal CA|adenocarcinoma,"152.9, C17.9"
403,oncology|chest tumors|mediastinal tumor|thymoma,
404,pulmonary|post thoracic surgery|s/p thoracotomy,
405,pulmonary|respiratory failure|acute lung injury,"518.81, J80"
406,renal|disorder of acid base|metabolic alkalosis,"276.3, E87.3"
407,renal|disorder of kidney|chronic kidney disease,"585.9, N18.9"
408,renal|disorder of kidney|traumatic renal injury,"866.00, S37.09"
409,renal|electrolyte imbalance|hypocalcemia|severe,"275.41, E83.51"
410,surgery|head and neck surgery|s/p sinus surgery,
411,surgery|infections|pneumonia|community-acquired,"486, J18.9"
412,surgery|neurosurgical issues|seizures|suspected,
413,surgery|obstetrics|vaginal hemorrhage|abruption,"641.20, O45.8X9"
414,surgery|orthopedic surgery|s/p shoulder surgery,
415,surgery|other surgery|s/p breast reconstruction,
416,surgery|renal issues|respiratory acidosis|acute,"276.2, E87.2"
417,surgery|respiratory failure|ventilatory failure,"518.81, J96.00"
418,toxicology|drug overdose|acetaminophen overdose,"E980.0, 965.4, T39.1X"
419,toxicology|drug overdose|drug overdose- general,
420,burns/trauma|trauma - CNS|fracture of skull|base,S02.1
421,burns/trauma|trauma - chest|diaphragmatic injury,"862.0, S27.80"
422,burns/trauma|trauma - chest|pneumothorax|tension,860.0
423,burns/trauma|trauma - chest|tension pneumothorax,860.0
424,cardiovascular|arrhythmias|AV block|asymptomatic,"426.10, I44.30"
425,cardiovascular|arrhythmias|AV block|first degree,"426.11, I44.0"
426,cardiovascular|cardiac surgery|s/p CABG < 7 days,
427,cardiovascular|pericardial diseases|pericarditis,"420.90, I30.9"
428,cardiovascular|shock / hypotension|sepsis|severe,"995.92, R65.2"
429,endocrine|fluids and electrolytes|hyperchloremia,"276.9, E87.8"
430,endocrine|fluids and electrolytes|hypomagnesemia,"275.2, E83.42"
431,gastrointestinal|abdominal/ general|constipation,"564.00, K59.00"
432,gastrointestinal|hepatic disease|hepatic failure,"570, K72.9"
433,gastrointestinal|hepatic disease|toxic hepatitis,"573.3, T71.2"
434,gastrointestinal|hepatic disease|viral hepatitis,"573.1, B17.9"
435,gastrointestinal|pancreatic disease|pancreatitis,
436,gastrointestinal|post-GI surgery|s/p gastrostomy,
437,gastrointestinal|post-GI surgery|s/p splenectomy,
438,general|quality measures|influenza vaccine given,
439,hematology|coagulation disorders|DVT|spontaneous,"451.9, I80.9"
440,infectious diseases|GI infections|pelvic abscess,"567.22, K65.1"
441,infectious diseases|GU infections|pelvic abscess,"567.21, K65.1"
442,infectious diseases|GU infections|trichomoniasis,
443,neurologic|altered mental status / pain|delirium,"293.0, F05"
444,neurologic|altered mental status / pain|dementia,"294.9, F03"
445,neurologic|altered mental status / pain|paranoia,
446,neurologic|post-neurosurgery|post spinal surgery,
447,oncology|GI tumors|intestinal CA|carcinoid tumor,"152.9, C17.9"
448,oncology|GI tumors|retroperitoneum/peritoneum CA,
449,oncology|chest tumors|mediastinal tumor|lymphoma,"202.82, C85.82"
450,oncology|hematologic malignancy|multiple myeloma,"203.00, C90.00"
451,pulmonary|disorders of the airways|COPD|moderate,"491.20, J44.9"
452,pulmonary|pulmonary infections|empyema|bacterial,"510.9, J86.9"
453,pulmonary|respiratory failure|respiratory arrest,"799.1, R09.2"
454,renal|disorder of acid base|respiratory acidosis,"276.2, E87.2"
455,renal|electrolyte imbalance|hypercalcemia|severe,"275.42, E83.52"
456,surgery|altered mental status / pain|obtundation,"780.09, R40.0"
457,surgery|altered mental status / pain|pain|severe,
458,surgery|cardiac surgery|low cardiac output state,"997.1, I97.89"
459,surgery|general surgery postop issues|hemorrhage,"998.11, I97.89"
460,surgery|infections|lower urinary tract infection,"595.9, N30.9"
461,surgery|infections|peritonitis|procedure related,"567.9, K65.0"
462,surgery|respiratory failure|pulmonary aspiration,"507.0, J69.0"
463,toxicology|drug overdose|benzodiazepine overdose,"969.4, E980.2, T42.4X"
464,burns/trauma|dermatology|Stevens-Johnson syndrome,"695.1, L51.1"
465,burns/trauma|trauma - CNS|fracture of skull|vault,S02
