db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,181.851,,0.935
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,8,1,False,239.494,,0.93
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,5,1,False,239.971,,0.92
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,4,1,False,239.723,,0.925
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,2,1,False,239.61,,0.875
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,1,1,False,240.281,,0.9
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,0,1,False,239.845,,0.91
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,68.383,,0.955
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,8,1,False,66.054,,0.935
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,61.222,,0.915
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,4,1,False,60.048,,0.94
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,63.266,,0.935
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,61.562,,0.46
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,60.207,,0.93
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,77.156,,0.735
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,8,1,False,71.32,,0.71
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,5,1,False,71.882,,0.71
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,4,1,False,63.945,,0.64
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,2,1,False,60.551,,0.64
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,1,1,False,58.871,,0.755
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,58.189,,0.62
eICU-CRD,gpt-3.5-turbo,0.2,10,1,False,87.768,,0.87
eICU-CRD,gpt-3.5-turbo,0.2,8,1,False,79.69,,0.87
eICU-CRD,gpt-3.5-turbo,0.2,5,1,False,80.378,,0.865
eICU-CRD,gpt-3.5-turbo,0.2,4,1,False,74.068,,0.915
eICU-CRD,gpt-3.5-turbo,0.2,2,1,False,76.768,,0.89
eICU-CRD,gpt-3.5-turbo,0.2,1,1,False,75.927,,0.85
eICU-CRD,gpt-3.5-turbo,0.2,0,1,False,72.701,,0.835
eICU-CRD,gpt-4o,0.2,10,1,False,77.927,,0.96
eICU-CRD,gpt-4o,0.2,8,1,False,77.317,,0.97
eICU-CRD,gpt-4o,0.2,5,1,False,77.153,,0.965
eICU-CRD,gpt-4o,0.2,4,1,False,74.146,,0.97
eICU-CRD,gpt-4o,0.2,2,1,False,76.084,,0.95
eICU-CRD,gpt-4o,0.2,1,1,False,88.223,,0.95
eICU-CRD,gpt-4o,0.2,0,1,False,104.552,,0.945
