drug,route,electrolytes,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15
Potassium Chloride,PO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acetaminophen,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Insulin,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Albuterol 0.083% Neb Soln,IH,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Furosemide,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Neutra-Phos,PO/NG,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Heparin Sodium,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Heparin,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Potassium Chloride,PO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Senna,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Pantoprazole,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Ondansetron,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Calcium Gluconate,IV,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LR,IV,0,0,0,0,1,1,1,"sure, i understand the task","sure, i understand the task.",1  explanation: based,1,1,1,0,1,0
Acetaminophen,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Potassium Chloride,IV,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Heparin Flush (10 units/ml),IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Potassium Chloride,PO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HYDROmorphone (Dilaudid),IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Senna,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Calcium Carbonate,PO/NG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Potassium Chloride,IV,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Calcium Gluconate,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Insulin,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Morphine Sulfate,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Warfarin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Ipratropium Bromide Neb,IH,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Multivitamins,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Warfarin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Furosemide,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
OxyCODONE (Immediate Release),PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Omeprazole,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0.9% Sodium Chloride,IV DRIP,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0
Magnesium Sulfate,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Furosemide,PO/NG,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Ondansetron,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Warfarin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Calcium Carbonate,PO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5% Dextrose,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Morphine Sulfate,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Milk of Magnesia,PO,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0
CefePIME,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Magnesium Sulfate,IV,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Propofol,IV DRIP,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Potassium Phosphate,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5% Dextrose,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Magnesium Oxide,PO/NG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Piperacillin-Tazobactam,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Metoprolol Tartrate,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Acetaminophen,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
LORazepam,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Vancomycin,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Pantoprazole,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5% Dextrose,IV DRIP,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Docusate Sodium,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Acetaminophen,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
OxycoDONE (Immediate Release),PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Famotidine,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Heparin Sodium,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
OxyCODONE (Immediate Release),PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Amlodipine,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Influenza Vaccine Quadrivalent,IM,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Glucagon,IM,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Zolpidem Tartrate,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Omeprazole,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Multivitamins,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Ibuprofen,PO,0,0,0,0,0,0,0,0,0,0.,1,1,1,0,0,0
Calcium Gluconate,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sodium Bicarbonate,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Ipratropium-Albuterol Neb,NEB,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Chlorhexidine Gluconate 0.12% Oral Rinse,ORAL,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Potassium Chloride,PO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HYDROmorphone (Dilaudid),PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Ciprofloxacin HCl,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5% Dextrose,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
TraZODone,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
DiphenhydrAMINE,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
DiphenhydrAMINE,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Furosemide,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Ondansetron,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1/2 NS,IV,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Pneumococcal Vac Polyvalent,IM,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Metoprolol Tartrate,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Simvastatin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Lorazepam,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Omeprazole,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0.9% Sodium Chloride,IV DRIP,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
Warfarin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Dextrose 5%,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
0.45% Sodium Chloride,IV,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
TraMADOL (Ultram),PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Ranitidine,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Lidocaine 5% Patch,TD,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Albuterol Inhaler,IH,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Tacrolimus,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Heparin Flush (10 units/ml),IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Potassium Chloride,PO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acetaminophen,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Famotidine,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Metoclopramide,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Nitroglycerin,IV DRIP,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Vitamin D,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Insulin Human Regular,IV DRIP,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
NS,IV,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Furosemide,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Potassium Chloride,IV,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Morphine Sulfate,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Aspirin EC,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Calcium Gluconate,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Atorvastatin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5% Dextrose,IV,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Thiamine,PO/NG,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
Vitamin D,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Acetaminophen,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Fentanyl Citrate,IV DRIP,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Pantoprazole,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
HYDROmorphone (Dilaudid),IVPCA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Morphine Sulfate,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Acetaminophen,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
HydrALAzine,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Heparin Flush (10 units/ml),IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Ferrous Sulfate,PO/NG,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
HydrALAZINE,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Docusate Sodium,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5% Dextrose,IV DRIP,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
0.9% Sodium Chloride,IV,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
Ciprofloxacin IV,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Aspirin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Furosemide,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Heparin Dwell (1000 Units/mL),DWELL,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Prochlorperazine,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Oxycodone-Acetaminophen,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Diazepam,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Simethicone,PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
PNEUMOcoccal 23-valent polysaccharide vaccine,IM,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
traZODONE,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Citalopram,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Morphine Sulfate,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Neomycin-Polymyxin-Bacitracin,TP,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0.9% Sodium Chloride,IV,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0
Albumin 25% (12.5g / 50mL),IV,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
Hydrochlorothiazide,PO/NG,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Heparin Sodium,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Milk of Magnesia,PO/NG,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
Lidocaine 5% Patch,TD,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Acetaminophen,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Fluticasone Propionate 110mcg,IH,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
HYDROmorphone (Dilaudid),IVPCA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Metoprolol Tartrate,IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Gabapentin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Influenza Vaccine Quadrivalent,IM,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Acetaminophen,PR,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Albuterol 0.083% Neb Soln,IH,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Simvastatin,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Sodium Phosphate,IV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Influenza Vaccine Quadrivalent,IM,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Furosemide,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Thiamine,IV,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
HYDROmorphone (Dilaudid),PO,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
FoLIC Acid,PO/NG,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Heparin Flush (100 units/ml),IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
MetRONIDAZOLE (FLagyl),IV,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Influenza Virus Vaccine,IM,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
