drug,generic_name,pred_1,pred_2,all_pred_2,consistency_2,pred_3,pred_4,all_pred_4,consistency_4,pred_5,pred_6,all_pred_6,consistency_6,pred_7,pred_8,all_pred_8,consistency_8,pred_9,pred_10,all_pred_10,consistency_10
HYDROmorphone (Dilaudid),hydromorphone,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone -> hydrocodone,hydrocodone -> hydrocodone,"['hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
0.9% Sodium Chloride (Mini Bag Plus),sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Bisacodyl,bisacodyl,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
Metoprolol Tartrate,metoprolol tartrate,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate']",1.0,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0
Docusate Sodium,docusate,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",1.0,docusate sodium,docusate sodium,"['docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium']",1.0,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",1.0,docusate sodium,docusate sodium,"['docusate sodium -> docusate', 'docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium']",0.8,docusate,docusate,"['docusate', 'docusate', 'docusate', 'docusate', 'docusate']",1.0
Glucagon,glucagon,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0
OxycoDONE (Immediate Release),oxycodone,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0
Ondansetron,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Glucose Gel,glucose,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,glucose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'glucose', 'dextrose']",0.8,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
Furosemide,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
Acetaminophen IV,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
D5 1/2NS,"glucose 50 mg/ml, sodium chloride 4.5 mg/ml","glucose, sodium chloride","glucose, sodium chloride","['glucose, sodium chloride', 'glucose, sodium chloride', 'glucose, sodium chloride', 'glucose, sodium chloride', 'glucose, sodium chloride']",1.0,dextrose and sodium chloride,dextrose and sodium chloride,"['dextrose and sodium chloride', 'dextrose and sodium chloride', 'dextrose and sodium chloride', 'dextrose and sodium chloride', 'dextrose and sodium chloride']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,d5 half ns is a dext,dextrose,"['d5 half ns is a type of', 'dextrose', 'd5 half ns is a type of', 'dextrose', 'dextrose']",0.6,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,"['potassium chloride', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride', 'potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride  the generic']",0.4,unsure,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Bisacodyl,bisacodyl,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0
Aspirin,aspirin,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0
Polyethylene Glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,"['polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol']",1.0,polyethylene glycol,polyethylene glycol,"['polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol']",1.0,peg,peg,"['peg', 'peg', 'peg', 'peg', 'peg']",1.0,peg,peg,"['peg', 'peg', 'polyethylene glycol', 'peg', 'polyethylene glycol']",0.6,polyethylene glycol,polyethylene glycol,"['polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol', 'polyethylene glycol']",1.0
Lorazepam,lorazepam,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,"['potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride (no change', 'potassium chloride', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride']",0.4,unsure,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
Insulin,insulin,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0
Albuterol 0.083% Neb Soln,albuterol 0.83 mg/ml,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0
Furosemide,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
Neutra-Phos,potassium phosphate,potassium phosphate,potassium phosphate,"['potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate', 'potassium phosphate']",1.0,phosphonoformic acid,phosphonoformic acid,"['phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid']",1.0,phosphonoformic acid,phosphonoformic acid,"['phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid']",1.0,phosphonoformic acid,phosphonoformic acid,"['phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid']",1.0,phosphorus,phosphonoformic acid,"['phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid', 'phosphonoformic acid', 'phosphorus']",0.8
Heparin Sodium,heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
Heparin,heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
